time,size
0.686,998061
1.594,990529
2.493,987844
3.051,995399
3.717,1007956
3.919,1001498
3.929,994974
5.208,992991
7.459,993006
8.019,995350
8.056,997835
8.123,994705
8.465,990373
9.386,989191
9.524,987740
9.714,1000823
10.068,999700
10.081,991325
10.432,986709
10.461,982423
11.195,983639
14.191,980499
14.323,989824
15.022,985151
15.36,984966
16.437,982975
16.476,989673
16.984,995956
19.712,985246
20.002,987198
20.224,989907
21.999,997509
23.447,998120
24.889,997088
27.813,1005410
27.974,1003135
28.584,1003212
29.345,1009088
32.562,1013494
33.399,1017654
33.549,1018286
33.759,1015756
35.334,1011633
36.465,1015676
36.522,1014808
37.323,1015396
37.709,1018240
37.93,1011984
38.657,1010287
38.918,1011969
39.125,1012150
39.144,1011575
41.703,1012321
43.196,1013718
44.418,1014441
44.915,1019060
44.928,1023238
46.112,1026547
49.752,1031979
53.648,1024215
53.786,1030004
55.582,1033559
55.618,1028926
57.026,1023173
58.771,1022930
59.038,1021989
59.443,1023853
62.652,1020846
63.909,1024896
64.202,1020131
65.946,1016061
67.14,1006032
67.369,1006242
68.256,1010660
69.808,1014821
70.554,1015765
71.252,1015183
72.287,1013917
72.569,1013779
72.686,1013229
72.974,1028931
73.278,1026418
75.037,1018112
75.389,1011243
75.845,1007388
77.115,1002201
77.724,1006420
77.932,997199
78.138,1001637
78.565,999964
80.022,1003818
80.122,1005013
81.375,1004730
84.204,1003468
84.305,1011269
84.35,1004157
84.565,1001155
88.012,995901
89.723,994803
92.155,997123
92.596,991047
93.974,986381
96.149,989807
96.53,996716
96.652,1001205
99.034,1003171
99.502,1006506
100.283,1017444
101.368,1024290
101.885,1027771
102.364,1027867
102.697,1036906
106.218,1037951
108.407,1037622
109.307,1034241
111.425,1038088
113.318,1035576
115.305,1033298
117.417,1036283
118.76,1041066
119.409,1037150
119.574,1030931
119.883,1036161
122.845,1034120
123.375,1033548
123.397,1034959
124.439,1033729
124.587,1029738
126.845,1035325
127.187,1037627
127.91,1041419
128.973,1042046
129.425,1049000
129.728,1048548
132.301,1048191
132.926,1047755
133.843,1047610
134.773,1054543
134.875,1060013
136.77,1060175
137.327,1058671
137.379,1054991
138.514,1058639
139.49,1062074
140.103,1060141
140.292,1066273
141.814,1066178
142.719,1063918
143.051,1054978
143.188,1058864
143.243,1059224
143.869,1054085
144.724,1060079
146.263,1062418
146.79,1062871
148.301,1059920
148.408,1047760
148.895,1050300
149.513,1049552
151.886,1049318
152.103,1055029
152.326,1055330
155.072,1062265
155.082,1061066
156.427,1064757
156.694,1071761
158.56,1074559
159.572,1082747
161.147,1079123
161.498,1076840
161.954,1076239
162.174,1071727
164.695,1061286
166.63,1066566
167.245,1062829
167.894,1062687
169.796,1065441
171.066,1073975
171.329,1074780
171.957,1071485
172.854,1068945
173.291,1060063
174.28,1057987
174.473,1066041
174.662,1067427
174.675,1069582
174.899,1071385
177.985,1073730
178.955,1080863
179.291,1082209
180.882,1089316
182.928,1093655
184.09,1099788
184.676,1102693
185.108,1111062
186.164,1106846
186.677,1102333
186.948,1102208
187.393,1105915
188.878,1105382
189.075,1111399
189.33,1111600
191.332,1109955
192.745,1105722
194.802,1101189
195.234,1100951
195.523,1107524
195.771,1109475
197.805,1113093
198.296,1111135
198.381,1105953
201.103,1109408
203.387,1107709
204.418,1109320
204.443,1108696
204.609,1108548
208.11,1112778
208.874,1112661
209.583,1113247
213.127,1111516
214.721,1111558
214.798,1117508
215.293,1120236
215.363,1120816
218.872,1121041
219.946,1113094
222.093,1118378
222.434,1111121
224.028,1119477
225.058,1122660
225.069,1122436
225.127,1123136
225.833,1118643
226.417,1115080
226.972,1112859
230.537,1109552
230.9,1102975
231.242,1103897
231.62,1098458
231.945,1098217
232.48,1097975
233.486,1101638
234.553,1095324
234.844,1094622
235.449,1102614
236.936,1113240
237.007,1111646
238.519,1107848
238.771,1110184
240.568,1112174
