time,size
1.049,997951
1.862,998396
2.065,994575
3.809,995518
4.375,996125
5.042,992237
8.38,996292
8.56,1002199
9.304,1000792
9.679,1004347
9.978,1005394
10.765,1004019
11.829,1012672
13.512,1007855
14.522,1008179
15.111,1007110
16.216,1008822
16.304,1016780
16.482,1020489
16.668,1018673
17.558,1014289
18.539,1010995
18.986,1011178
19.204,1011214
19.298,1011586
19.373,1008548
19.754,1008985
20.923,1009727
22.549,1006476
22.812,1007131
23.511,1009708
23.661,1015585
24.428,1014410
25.168,1015383
25.308,1005596
28.573,1003042
33.185,993808
33.705,994071
37.605,992607
37.907,990483
38.981,988826
40.632,992245
40.702,987022
40.754,994534
41.096,1000491
41.33,997362
42.177,1004888
43.064,1005200
44.669,1001576
44.898,1009226
45.148,1010249
46.786,1003328
47.352,1002542
51.373,1002848
53.67,1002201
54.789,1009169
55.119,1012912
55.612,1021705
55.834,1013569
55.937,1008828
57.034,996649
57.693,996574
58.06,998768
58.439,997679
58.87,997411
59.198,1001101
59.629,994184
59.938,996202
60.124,990279
62.061,997874
62.174,1003567
62.189,1002282
62.668,997484
62.889,999430
62.896,990453
63.284,986129
63.8,988713
64.924,992217
66.372,990460
66.836,996505
68.293,1001596
68.74,1008337
69.336,1008607
69.528,1007478
71.054,1004065
73.105,1009188
74.009,1007260
75.263,1000973
75.463,998270
76.816,998940
77.076,998358
78.832,991367
80.576,985332
80.634,989304
81.162,986627
81.401,993407
82.939,986695
83.439,979686
84.267,969953
85.565,978005
86.156,984211
88.117,988887
89.35,996032
89.787,996366
91.597,992237
94.195,1000572
95.49,995864
95.705,997892
95.957,997126
97.671,998584
97.827,1001141
99.508,1007464
103.37,1012759
103.504,1012300
103.69,1010342
104.896,1012966
105.045,1011077
106.85,1015765
109.049,1023815
110.394,1016515
111.393,1017785
111.44,1014906
112.786,1026135
112.9,1026947
113.352,1031369
113.587,1029676
113.72,1028170
114.282,1025369
115.772,1023132
116.643,1021619
117.384,1026574
120.439,1022122
120.54,1018623
123.368,1012105
123.968,1019223
125.047,1016367
125.398,1016320
126.691,1017433
128.753,1004925
130.784,996960
131.268,1003326
135.902,1000961
136.478,999785
137.193,1010639
138.966,1012835
138.997,1007052
139.462,1013915
141.271,1013615
142.8,1017100
145.438,1014101
146.184,1014817
146.534,1021538
147.163,1022187
147.314,1025768
148.162,1033572
148.454,1036076
148.772,1027032
151.218,1033599
151.427,1040753
152.151,1038910
154.216,1034050
156.093,1037211
156.332,1037926
158.085,1027741
158.384,1028509
159.647,1031839
160.061,1030233
161.003,1027660
163.253,1026383
164.237,1034493
164.484,1040423
165.342,1043861
165.421,1044698
165.915,1048995
166.493,1041212
167.79,1038657
168.323,1033692
169.999,1023036
170.006,1022423
170.257,1021776
170.493,1030091
170.653,1030918
171.373,1031279
172.806,1031519
172.818,1034521
174.157,1032303
175.149,1038213
175.647,1034436
175.955,1028078
176.005,1022565
177.059,1025372
177.759,1025694
177.949,1023508
178.371,1021473
178.775,1021153
179.255,1026766
179.609,1023957
180.51,1024247
181.332,1024357
181.774,1031137
183.199,1031163
183.628,1034603
184.384,1035493
185.06,1039592
188.915,1036557
190.392,1030508
192.392,1032418
193.836,1029659
194.089,1024330
194.744,1029324
195.185,1030510
195.734,1034629
195.973,1038475
196.181,1035897
197.541,1029189
198.251,1027051
199.475,1018965
202.886,1012635
203.332,1013642
205.173,1015873
205.936,1014995
206.538,1015726
207.168,1022801
208.566,1030283
209.307,1024755
213.022,1018720
215.191,1030774
215.308,1030254
215.585,1028237
216.001,1027776
216.298,1027934
216.841,1026615
216.944,1030237
217.494,1026329
219.214,1017733
221.212,1017447
224.166,1016836
224.209,1006073
224.742,1000549
226.251,994997
227.514,992270
229.112,988650
229.665,981049
231.487,984389
232.117,984122
232.715,979226
232.799,972189
232.922,980363
236.388,975345
236.389,966014
238.253,966763
238.545,959820
240.157,954978
