time,direction
0.461,S
3.261,B
6.796,B
8.474,B
11.531,S
13.696,S
18.431,B
20.185,S
21.755,B
26.928,B
28.403,S
28.991,B
29.163,B
29.187,B
31.846,B
32.816,S
36.644,B
38.916,B
40.558,B
42.593,S
42.811,B
42.935,B
44.969,S
46.428,B
47.755,S
51.568,S
52.516,S
52.782,S
52.91,S
53.683,B
55.135,S
57.253,S
64.778,B
66.258,B
66.95,S
67.186,B
67.31,B
67.552,S
68.275,B
68.432,S
74.252,B
76.413,S
77.563,B
77.798,B
79.361,S
81.341,S
83.584,B
83.818,B
85.392,S
86.208,S
86.869,S
89.845,S
91.267,S
92.094,B
93.928,S
93.983,S
97.797,S
98.258,S
101.12,S
102.449,B
103.852,S
105.878,S
112.078,S
114.049,S
114.508,B
115.165,S
118.762,S
118.862,S
119.776,B
120.205,S
120.781,S
123.69,S
127.112,B
133.066,S
133.217,B
133.379,S
136.404,S
138.489,B
139.545,B
139.757,B
142.578,S
146.013,S
146.696,S
148.677,B
149.594,B
152.071,S
152.22,B
156.511,S
158.318,B
167.411,S
169.253,S
170.816,B
174.214,B
178.873,S
182.277,B
187.427,S
188.994,S
189.109,S
193.306,S
194.613,B
198.097,B
202.918,S
203.493,B
204.233,S
207.143,S
209.473,B
212.042,B
215.507,S
220.421,B
221.133,B
222.508,S
222.551,S
223.771,S
226.105,B
226.463,S
230.096,B
231.609,S
231.889,S
232.23,B
233.128,S
233.2,S
233.919,S
236.857,S
239.787,B
245.306,B
