time,size
0.515,1000437
1.0,998087
1.33,988214
1.958,988067
2.272,986945
2.276,989156
3.989,990268
4.549,994874
5.079,1001375
5.972,996096
6.166,997266
7.074,988821
7.685,985957
7.754,982391
9.286,989933
9.528,983655
9.707,989378
10.327,998575
11.318,999871
12.572,1005563
13.078,1003288
13.939,998135
14.796,996032
16.524,1006412
17.205,1014950
17.406,1012344
18.619,1017236
18.952,1012971
19.941,1016382
20.011,997419
21.889,991978
24.419,989760
24.82,987887
26.87,988705
27.974,997615
28.541,997731
30.109,1002241
31.743,1001040
31.957,1011033
32.724,1009908
33.228,1002393
36.839,1006120
38.794,1003528
40.861,1007299
41.143,1009399
44.246,1013202
44.618,1018158
44.755,1018714
44.883,1010324
45.231,1008971
45.425,1013765
45.639,1018816
45.71,1020854
46.365,1025851
47.252,1032786
49.335,1029280
50.032,1030848
50.618,1037489
55.136,1035166
56.202,1026241
59.912,1027244
61.078,1033387
63.022,1042252
63.352,1035099
64.198,1039298
68.822,1039629
69.244,1037644
70.506,1035732
70.964,1036765
71.032,1036058
71.16,1034305
75.505,1028192
75.792,1034291
76.03,1036148
78.122,1045617
78.478,1037684
79.195,1036918
79.53,1030142
79.739,1030716
80.609,1031872
80.99,1034574
82.691,1034978
83.188,1033896
84.789,1040607
85.724,1037440
89.03,1031255
91.573,1023667
92.263,1023344
93.124,1015007
95.103,1010365
95.308,1015470
95.364,1006307
96.313,1003972
96.426,1006472
101.172,992377
101.488,995935
101.716,998940
102.542,1008991
103.224,1022054
105.234,1024122
106.618,1016916
108.619,1014998
109.327,1009145
109.803,1005788
110.112,1000453
110.364,996327
111.535,999944
111.681,997231
112.555,1006386
113.399,1010210
113.865,1009641
114.979,1019292
117.277,1024524
117.325,1042377
118.032,1050686
118.081,1050929
119.444,1055244
120.176,1056035
120.563,1054033
122.585,1058421
124.447,1064926
124.871,1068592
125.279,1066738
126.925,1057252
129.793,1049487
130.023,1050772
131.543,1054056
131.674,1059336
131.82,1062061
132.074,1051509
132.586,1050920
134.222,1052245
135.192,1057717
135.576,1052743
136.846,1046078
136.864,1043244
137.538,1054269
138.626,1048610
138.918,1040748
138.944,1047814
138.945,1043606
141.605,1042159
142.419,1042509
143.827,1042311
144.925,1041824
146.551,1038079
146.568,1035493
146.607,1035729
146.972,1033574
147.355,1044057
150.083,1042155
152.223,1036968
154.461,1045916
154.733,1047199
155.752,1046919
156.514,1049217
157.646,1047589
157.704,1051809
161.666,1055712
166.646,1048997
167.258,1059967
168.19,1056514
169.628,1061919
172.479,1052741
175.502,1049699
176.495,1049303
177.93,1052946
178.241,1041364
180.557,1044971
181.727,1053084
181.865,1049394
181.971,1052384
182.879,1057733
183.867,1057178
184.469,1057519
184.545,1053595
184.582,1048951
185.255,1054334
187.252,1058036
188.283,1050066
189.397,1052744
191.195,1054196
191.403,1060571
191.769,1049581
191.854,1048895
191.939,1048954
192.823,1047993
193.639,1050023
194.964,1047740
196.455,1058230
197.321,1059295
197.518,1058326
199.363,1062266
201.293,1058352
202.235,1057990
203.385,1058119
203.469,1053134
206.0,1062563
206.263,1058556
206.289,1052755
207.255,1055813
209.42,1056880
210.0,1063006
211.173,1061413
213.441,1056084
213.59,1054356
213.667,1061713
217.011,1058831
218.78,1062748
219.108,1064601
220.537,1065175
221.372,1070807
221.895,1073700
221.927,1072288
223.778,1075177
229.094,1080659
229.198,1081782
229.22,1076616
229.412,1073873
230.357,1074376
230.923,1062025
232.356,1054757
235.372,1065110
237.087,1063546
237.369,1058303
239.831,1044478
240.239,1049585
