time,size
0.828,1002119
1.15,1000235
1.611,998402
2.774,1005078
3.814,1004597
4.959,997841
8.638,996869
8.754,994496
8.897,1000497
9.906,997996
11.081,1008249
12.67,1008001
13.825,1006312
14.187,1002569
15.97,1002261
16.387,1006885
17.233,1015383
17.915,1024265
18.954,1031484
19.635,1025780
20.3,1029464
20.509,1028181
22.016,1029019
22.347,1029080
23.695,1034510
23.731,1024383
23.753,1019054
23.883,1024179
24.121,1017094
24.565,1022342
25.487,1021633
25.53,1023112
25.752,1023206
26.193,1018111
26.65,1014310
27.439,1003728
29.265,1010014
29.358,1011174
29.703,1011798
31.598,1017460
31.619,1016622
32.446,1012848
32.536,1005828
32.725,999666
34.779,998818
35.596,998014
36.345,995824
36.848,998512
37.03,1002077
37.363,1011330
38.195,1016978
38.506,1018782
40.438,1015497
40.936,1017734
41.97,1018274
42.751,1012381
43.893,1010313
44.602,1003750
45.946,1000924
46.759,1000882
48.608,998464
48.729,990494
48.926,1002638
49.745,1004661
53.144,1004884
55.635,1008071
55.742,1000987
56.261,999071
56.768,998949
57.371,1001616
58.036,1003399
58.719,1005029
58.897,1006040
60.252,1003606
60.72,1003658
66.271,1012923
67.343,1005102
67.587,1007600
67.846,1010593
69.148,1003727
69.729,1003116
71.009,1003754
72.507,992845
72.658,991979
73.008,995828
75.272,999020
78.318,1000076
80.624,1007655
82.045,1003297
83.111,1007136
83.566,1008948
85.137,1010207
86.26,1016343
87.5,1019407
89.011,1012625
89.166,1016402
91.316,1013006
91.837,1017417
93.145,1017541
94.26,1019243
95.484,1021627
100.87,1023664
101.272,1025723
103.535,1029943
104.423,1031292
107.752,1031075
107.989,1018743
108.021,1020270
108.166,1024424
109.396,1024800
109.907,1023807
110.478,1020555
111.198,1021416
111.321,1013775
112.409,1011487
112.676,1004301
114.084,998118
114.849,1002392
115.116,998304
115.397,990007
116.068,991772
117.887,985807
118.374,987238
120.359,980845
121.795,982881
122.268,988007
122.55,993797
123.073,985468
123.401,981451
124.359,978487
124.966,983674
126.084,977978
126.394,976404
128.799,977796
128.926,982157
129.546,979624
130.711,971478
132.185,978535
133.461,977973
133.562,980484
133.704,978053
135.529,981513
135.68,975508
138.699,975097
138.923,970705
142.11,969969
142.66,971791
142.952,976230
143.598,978390
144.504,975062
144.608,971066
145.399,969515
148.792,970973
150.288,971249
151.133,975420
153.033,972626
154.853,969279
155.483,968721
156.654,971098
156.949,966470
158.116,970074
158.553,965994
158.743,955345
159.153,952189
160.02,958255
160.173,962048
160.784,962269
161.063,965010
161.104,971142
163.065,968491
163.748,969138
166.012,972651
166.761,967473
166.934,968524
168.376,970262
169.639,967222
170.808,964417
171.891,965222
173.207,966710
174.028,973726
175.177,973667
176.238,978969
176.258,970034
176.438,962481
176.9,965504
178.022,960018
178.611,967352
179.27,965316
181.056,968311
181.306,969638
182.987,960804
183.097,960278
183.131,959173
183.673,962096
183.981,958642
188.512,969074
190.433,974490
190.703,974743
190.709,975255
193.297,972404
196.539,970883
199.682,972906
201.352,979555
202.521,973986
203.412,975685
203.709,981291
207.126,987503
207.52,989084
207.793,980397
209.765,971523
210.312,966207
210.526,970633
212.133,969623
213.034,971096
214.251,973626
214.894,980158
214.977,984136
215.249,994875
216.264,998581
216.38,1000694
216.774,1003099
217.208,1004727
218.106,1019352
224.497,1019510
227.451,1015416
228.364,1017523
228.489,1022773
230.23,1021311
231.508,1010691
232.722,1012688
233.146,1016408
233.384,1020531
233.971,1014761
234.438,1010386
235.074,1010927
235.353,1014633
236.326,1017569
236.684,1018272
237.35,1027487
237.719,1035323
238.591,1039811
240.483,1046322
