time,direction
7.782,B
7.951,B
8.604,S
10.274,B
18.041,B
21.99,B
30.475,S
37.289,B
46.567,B
53.801,S
55.686,B
56.129,B
57.345,B
60.543,B
69.14,S
69.831,B
77.946,B
81.439,S
83.479,B
87.407,S
87.952,S
92.698,S
93.085,B
93.363,B
98.743,S
104.495,S
105.01,S
106.171,B
107.215,S
107.34,S
112.589,S
115.934,S
116.118,S
118.346,S
118.624,B
119.472,S
119.914,S
132.497,B
138.821,S
144.846,B
149.71,S
150.058,S
152.62,B
156.821,B
165.67,B
166.201,B
166.835,B
170.877,B
170.921,B
179.543,B
182.155,S
182.878,S
190.034,B
193.077,S
196.825,S
205.278,B
205.309,B
214.395,B
216.615,B
229.133,S
231.61,S
241.458,B
