time,direction
5.349,B
5.687,S
9.723,B
11.812,B
14.008,B
18.171,S
18.409,S
20.137,B
21.754,B
24.745,B
26.246,B
26.384,B
31.134,B
36.777,S
42.716,S
55.066,B
68.047,S
71.337,B
83.463,B
84.399,S
86.304,S
86.809,B
93.965,S
94.768,B
102.302,S
104.463,S
104.466,B
105.582,B
107.854,S
108.366,S
110.455,B
110.712,B
113.851,S
114.233,B
117.418,B
123.579,S
124.429,S
126.992,B
127.217,B
127.778,B
129.153,B
137.441,S
166.817,B
168.692,S
168.817,S
169.842,S
173.378,B
175.893,S
176.157,B
176.52,S
177.564,S
177.982,B
180.887,S
183.598,S
195.122,S
195.828,B
198.064,B
199.126,S
201.132,S
204.895,S
209.417,S
212.219,S
213.468,B
214.679,B
219.37,B
224.192,B
224.302,S
224.629,S
239.554,S
240.106,S
