time,size
4.565,1006846
5.848,1002748
5.923,1005629
11.446,1006666
15.795,1002932
16.149,995740
17.74,997167
21.23,997325
40.183,998420
47.235,1007031
47.305,1001389
49.913,1011387
53.74,1004721
58.535,1002618
58.818,1003150
60.753,1004208
61.134,1002609
62.622,1001319
64.286,1009130
71.373,1012450
73.227,1010583
74.579,1021429
78.691,1017526
79.106,1024394
81.788,1031516
87.621,1033099
90.809,1039709
93.598,1049000
94.98,1051873
95.777,1058389
96.422,1058791
101.89,1053379
107.348,1055487
108.599,1054170
109.724,1056819
113.889,1053891
114.986,1050293
116.18,1046716
117.402,1048257
122.944,1054690
124.245,1059390
131.575,1062453
135.429,1060201
138.415,1064811
138.601,1070047
140.7,1074546
146.415,1077832
149.333,1068102
152.74,1073771
177.754,1064815
178.745,1069116
185.589,1069871
186.233,1072094
188.003,1066815
188.398,1076800
189.191,1075391
195.907,1072554
196.019,1072498
199.738,1084460
202.612,1087573
202.874,1089862
203.346,1087965
204.79,1083309
207.282,1078025
208.939,1069494
214.215,1076246
218.35,1083082
220.718,1091573
221.961,1087858
222.608,1092212
225.796,1096490
227.903,1093632
229.522,1099253
230.159,1099856
230.19,1091040
231.253,1093877
236.526,1091410
237.672,1085475
238.272,1078605
239.711,1071814
240.52,1072245
