time,direction
7.386,S
7.677,S
7.729,S
9.544,B
16.251,S
17.305,S
18.29,B
23.915,S
27.478,S
33.592,B
41.846,B
48.189,B
53.091,S
56.168,B
58.379,B
69.591,B
70.591,B
72.387,S
74.074,S
80.21,B
85.629,B
86.087,S
89.477,S
89.504,B
91.583,B
102.66,B
105.23,S
106.836,B
109.796,B
114.658,S
131.347,S
132.907,B
140.623,S
142.207,S
142.293,B
145.2,B
156.38,B
168.151,S
169.153,S
170.288,B
173.892,S
185.399,B
185.641,S
186.327,S
200.155,S
201.654,B
203.512,B
210.383,S
217.799,S
220.114,B
221.458,B
222.864,S
223.181,S
231.473,B
232.608,B
234.344,B
237.776,B
244.401,B
