time,size
1.715,994562
2.536,996265
3.209,1000054
5.036,996513
6.175,1002721
11.37,1000894
15.16,994384
15.253,993373
15.983,996248
16.443,988644
20.993,994693
21.641,987742
23.415,980829
28.794,978846
29.397,982796
34.164,986342
37.443,984708
40.393,991775
40.957,998461
41.237,994899
41.632,1002134
42.386,1005566
43.034,1008305
43.741,1014628
49.856,1012578
50.431,1009445
50.69,1013159
51.823,1006877
70.769,1009840
70.89,1011963
75.076,1018049
75.78,1015224
78.344,1008982
78.865,1004254
80.581,1012935
82.248,1019310
83.193,1020718
83.201,1017777
95.991,1022321
97.185,1019971
97.641,1023490
104.869,1024681
107.395,1031038
111.493,1035450
113.699,1035098
113.782,1035301
114.261,1034457
118.028,1033103
118.097,1028027
127.01,1033711
127.545,1031682
130.591,1035061
131.5,1033161
141.466,1045783
145.72,1049860
147.357,1046013
149.867,1046074
154.942,1037459
155.418,1026532
156.188,1018962
160.458,1016263
161.563,1014625
162.023,1010766
168.5,1018021
169.237,1013631
171.673,1014329
172.295,1021275
174.026,1024924
175.589,1021813
177.789,1021900
180.161,1016544
181.755,1019031
182.423,1011987
184.045,1008370
187.194,1013540
188.695,1010740
189.375,1010131
193.285,1004127
193.332,999856
197.835,998398
200.583,990957
202.504,999304
203.303,991848
207.005,985583
208.74,986135
208.878,994216
211.152,991660
213.647,991548
217.33,992212
231.677,983961
233.888,988893
235.235,986995
236.818,983959
239.065,986576
242.082,990356
