time,direction
0.002,B
0.002,S
0.006,B
0.011,B
0.014,B
0.017,S
0.026,B
0.033,B
0.041,B
0.044,S
0.046,B
0.05,S
0.051,S
0.054,B
0.057,S
0.058,S
0.058,B
0.06,S
0.061,S
0.061,B
0.062,B
0.063,B
0.064,B
0.066,S
0.068,B
0.072,B
0.08,B
0.084,S
0.085,B
0.092,B
0.095,S
0.097,S
0.098,B
0.098,S
0.102,B
0.105,S
0.105,B
0.105,S
0.107,B
0.121,B
0.122,S
0.133,S
0.143,S
0.143,S
0.143,S
0.146,S
0.147,B
0.153,B
0.156,S
0.156,S
0.156,B
0.157,S
0.158,S
0.159,B
0.161,B
0.162,S
0.17,B
0.179,B
0.18,B
0.183,S
0.184,B
0.186,S
0.186,B
0.195,S
0.197,S
0.198,B
0.2,S
0.2,B
0.2,B
0.2,B
0.2,B
0.201,S
0.207,B
0.208,S
0.214,B
0.219,S
0.22,B
0.224,S
0.228,B
0.229,S
0.234,B
0.237,S
0.237,B
0.242,B
