time,size
0.002,999888
0.006,1001101
0.007,1005480
0.008,1006505
0.01,1004879
0.011,1002948
0.019,996830
0.025,993711
0.027,997182
0.029,998177
0.03,1000611
0.03,1000407
0.031,1006898
0.031,1010829
0.036,1004718
0.037,1011570
0.037,1008951
0.037,1016948
0.038,1013245
0.04,1013972
0.041,1000190
0.048,999596
0.049,999529
0.059,997587
0.064,1012479
0.067,1014668
0.067,1010105
0.072,1000772
0.074,991131
0.075,993735
0.082,989089
0.084,990432
0.089,995142
0.09,1003427
0.092,1005378
0.095,1004685
0.096,1005652
0.098,1007407
0.101,1014384
0.117,1014992
0.121,1005111
0.127,1002914
0.133,1002084
0.137,1006162
0.138,1008590
0.139,1007860
0.141,1005683
0.144,1010369
0.147,1019178
0.15,1025126
0.152,1022586
0.153,1015491
0.16,1014040
0.16,1009007
0.161,999215
0.161,1000489
0.168,996193
0.17,999286
0.172,1001590
0.172,1001532
0.173,998595
0.173,990891
0.186,992399
0.188,991844
0.189,989659
0.19,987748
0.193,992688
0.193,979399
0.194,986467
0.195,989552
0.198,992465
0.201,987094
0.205,988412
0.205,993198
0.206,985130
0.209,986937
0.214,979206
0.224,982758
0.226,986006
0.227,979488
0.237,982811
0.24,986046
