time,size
2.381,995887
5.649,992615
9.036,997215
9.07,1000368
10.671,1001172
11.341,1005907
12.282,1005380
12.418,1007545
15.033,1013029
16.895,1012665
21.463,1009372
23.835,1006875
25.549,1004541
26.919,1012612
42.674,1006427
43.453,999053
46.886,999210
48.102,996755
50.415,1000225
53.869,1000318
60.802,999696
61.183,1003180
65.668,1004879
75.317,999797
80.339,995886
82.734,992136
84.146,996278
85.93,1000009
86.349,996014
94.133,998339
100.301,999168
102.4,1001685
108.398,1000415
111.06,1004363
112.701,1009577
114.305,1007726
117.848,1011778
118.873,1004873
119.715,1002230
125.068,996836
126.703,995998
127.218,995493
132.512,993527
133.664,999684
141.627,1006661
146.192,1002319
147.531,1001832
148.717,998760
149.042,1001931
149.942,1007309
150.408,996847
153.805,993753
155.418,985155
159.883,979540
167.046,973491
167.067,965268
167.916,959804
167.941,958569
171.512,963056
172.528,960100
175.25,963191
178.893,968167
188.387,968256
189.113,971427
189.899,971034
190.0,973939
191.494,971489
196.722,975550
197.117,983289
205.797,989352
206.135,984306
210.372,989086
211.432,992696
212.67,993713
213.455,986277
216.884,985403
222.611,981640
226.555,992260
226.616,988940
234.515,995963
239.755,996325
247.355,1004293
