time,direction
0.001,S
0.002,B
0.003,S
0.003,B
0.011,S
0.013,B
0.013,B
0.015,B
0.017,S
0.024,B
0.025,S
0.033,S
0.034,S
0.04,B
0.046,B
0.051,S
0.052,S
0.054,B
0.056,B
0.058,S
0.064,S
0.074,S
0.08,S
0.088,S
0.095,B
0.095,B
0.101,S
0.102,B
0.111,S
0.113,B
0.119,S
0.121,B
0.122,S
0.125,B
0.128,S
0.129,B
0.132,B
0.133,B
0.142,B
0.143,B
0.154,B
0.159,S
0.16,S
0.164,S
0.175,B
0.179,S
0.179,B
0.201,B
0.202,S
0.211,S
0.212,B
0.215,B
0.217,B
0.22,S
0.223,B
0.226,S
0.227,S
0.233,S
0.237,B
0.237,B
0.238,B
0.243,B
