arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.001,1,0,940000,0
0.195,1,0,2147483647,0
0.351,1,860000,2147483647,0
0.357,1,860000,940000,0
0.735,1,930000,940000,0
0.872,1,930000,1020000,0
0.984,1,930000,2147483647,0
1.075,1,930000,1050000,0
1.507,1,980000,1050000,0
2.066,1,1010000,1050000,0
2.075,1,1010000,2147483647,0
2.111,1,980000,2147483647,0
2.522,1,0,2147483647,0
2.634,1,950000,2147483647,0
2.741,1,950000,990000,0
3.2,1,950000,1070000,0
3.267,1,1000000,1070000,0
3.312,1,1000000,1010000,0
4.26,1,0,1010000,0
4.312,1,0,1070000,0
4.469,1,0,970000,0
4.525,1,0,1010000,0
4.537,1,970000,1010000,0
5.009,1,970000,990000,0
5.159,1,980000,990000,0
5.545,1,970000,990000,0
5.929,1,970000,980000,0
6.018,1,970000,2147483647,0
6.027,1,970000,1040000,0
6.076,1,980000,1040000,0
6.431,1,1000000,1040000,0
6.545,1,980000,1040000,0
6.631,1,980000,1050000,0
6.961,1,980000,1130000,0
7.076,1,0,1130000,0
7.438,1,0,1060000,0
7.487,1,1050000,1060000,0
7.635,1,1050000,1080000,0
7.84,1,1050000,1120000,0
7.908,1,1110000,1120000,0
8.246,1,1060000,1120000,0
8.586,1,1060000,1130000,0
8.596,1,1110000,1130000,0
8.779,1,1110000,1140000,0
9.331,1,1110000,1160000,0
9.441,1,1120000,1160000,0
9.594,1,1120000,1150000,0
9.772,1,1100000,1150000,0
9.784,1,1120000,1150000,0
10.141,1,1120000,2147483647,0
10.205,1,1100000,2147483647,0
10.214,1,1100000,1150000,0
10.625,1,0,1150000,0
10.702,1,0,1120000,0
10.754,1,0,1150000,0
11.214,1,0,1160000,0
11.65,1,1050000,1160000,0
11.793,1,1050000,1090000,0
12.443,1,1050000,1070000,0
12.49,1,1050000,1090000,0
12.65,1,0,1090000,0
12.658,1,1060000,1090000,0
12.682,1,1060000,1080000,0
12.702,1,1060000,1090000,0
13.009,1,1060000,1140000,0
13.097,1,1060000,1100000,0
13.143,1,1060000,1140000,0
13.259,1,1070000,1140000,0
13.292,1,1070000,1100000,0
13.606,1,1090000,1100000,0
14.292,1,1090000,1110000,0
14.606,1,1060000,1110000,0
14.614,1,1100000,1110000,0
15.039,1,1100000,1130000,0
15.132,1,1110000,1130000,0
15.277,1,1110000,1140000,0
15.533,1,1100000,1140000,0
15.553,1,1100000,1110000,0
15.614,1,1060000,1110000,0
15.69,1,1060000,1080000,0
15.989,1,1040000,1080000,0
16.42,1,1070000,1080000,0
16.69,1,1070000,1090000,0
16.826,1,1040000,1090000,0
16.848,1,1040000,1100000,0
16.853,1,0,1100000,0
16.861,1,1040000,1100000,0
16.997,1,1040000,1050000,0
17.452,1,1040000,1060000,0
17.459,1,1030000,1060000,0
18.016,1,1030000,1040000,0
18.103,1,1030000,1050000,0
18.244,1,1030000,1080000,0
18.386,1,1040000,1080000,0
18.607,1,1030000,1080000,0
18.621,1,1000000,1080000,0
18.815,1,980000,1080000,0
18.865,1,960000,1080000,0
19.371,1,960000,2147483647,0
19.421,1,940000,2147483647,0
19.483,1,940000,980000,0
19.731,1,930000,980000,0
19.899,1,800000,980000,0
19.904,1,800000,940000,0
20.046,1,910000,940000,0
20.252,1,910000,930000,0
20.312,1,0,930000,0
20.46,1,0,940000,0
20.467,1,0,980000,0
20.483,1,0,1010000,0
20.516,1,920000,1010000,0
20.612,1,930000,1010000,0
20.738,1,950000,1010000,0
20.938,1,950000,990000,0
21.191,1,950000,1050000,0
21.245,1,950000,990000,0
21.516,1,950000,1050000,0
21.738,1,0,1050000,0
21.758,1,1010000,1050000,0
21.792,1,1020000,1050000,0
21.799,1,1030000,1050000,0
22.019,1,1030000,1060000,0
22.099,1,1050000,1060000,0
22.101,1,1050000,1100000,0
22.19,1,1080000,1100000,0
22.314,1,1080000,1090000,0
22.454,1,1080000,1100000,0
22.758,1,1090000,1100000,0
22.843,1,1090000,1110000,0
23.121,1,1080000,1110000,0
23.535,1,1070000,1110000,0
24.282,1,1090000,1110000,0
24.596,1,1090000,1120000,0
24.8,1,1050000,1120000,0
24.87,1,1050000,1090000,0
24.918,1,1030000,1090000,0
24.927,1,1030000,1060000,0
25.128,1,1030000,1090000,0
25.337,1,970000,1090000,0
25.38,1,970000,1020000,0
25.52,1,970000,1090000,0
25.563,1,1030000,1090000,0
