arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
3.082,1,1030000,2147483647,0
4.861,1,1100000,2147483647,0
7.898999999999999,1,1030000,2147483647,0
12.023,1,0,980000,0
12.511,1,0,2147483647,0
12.915,1,0,980000,0
13.504,1,0,2147483647,0
13.645,1,0,950000,0
14.814,1,0,990000,0
17.334,1,0,900000,0
19.279,1,0,990000,0
19.817,1,950000,2147483647,0
21.466,1,0,2147483647,0
22.503,1,960000,2147483647,0
24.463,1,1040000,2147483647,0
24.527,1,960000,2147483647,0
24.771,1,1060000,2147483647,0
25.451,1,1100000,2147483647,0
26.132,1,1060000,2147483647,0
26.955,1,1000000,2147483647,0
28.182,1,1050000,2147483647,0
28.292,1,1000000,2147483647,0
29.842,1,980000,2147483647,0
29.903,1,980000,2147483647,0
30.35,1,1080000,2147483647,0
30.361,1,980000,2147483647,0
30.995,1,1040000,2147483647,0
31.796,1,1080000,2147483647,0
32.112,1,1100000,2147483647,0
32.58,1,1150000,2147483647,0
33.882,1,1100000,2147483647,0
34.461,1,1080000,2147483647,0
35.226,1,1040000,2147483647,0
35.976,1,1020000,2147483647,0
36.6,1,1040000,2147483647,0
37.778,1,1010000,2147483647,0
37.811,1,1000000,2147483647,0
39.318,1,1080000,2147483647,0
39.418,1,1000000,2147483647,0
40.062,1,1000000,2147483647,0
40.563,1,960000,2147483647,0
40.766,1,1100000,2147483647,0
44.116,1,1060000,2147483647,0
47.194,1,1040000,2147483647,0
47.247,1,1110000,2147483647,0
47.597,1,1040000,2147483647,0
49.67,1,1100000,2147483647,0
52.637,1,1040000,2147483647,0
53.469,1,1010000,2147483647,0
53.609,1,0,2147483647,0
53.921,1,1050000,2147483647,0
54.595,1,0,2147483647,0
56.279,1,1010000,2147483647,0
57.142,1,1070000,2147483647,0
57.812,1,1070000,2147483647,0
57.862,1,1010000,2147483647,0
58.082,1,990000,2147483647,0
58.197,1,0,2147483647,0
59.226,1,980000,2147483647,0
59.979,1,980000,990000,0
60.074,1,0,990000,0
60.548,1,0,960000,0
61.144,1,0,900000,0
61.779,1,0,880000,0
61.872,1,0,900000,0
62.318,1,0,960000,0
62.677,1,0,860000,0
62.865,1,0,960000,0
64.379,1,0,990000,0
65.133,1,1030000,2147483647,0
66.562,1,0,2147483647,0
68.066,1,0,840000,0
68.389,1,0,2147483647,0
69.36,1,0,920000,0
69.582,1,0,2147483647,0
69.889,1,1090000,2147483647,0
70.056,1,0,2147483647,0
70.062,1,1010000,2147483647,0
71.05,1,0,2147483647,0
71.088,1,950000,2147483647,0
71.508,1,0,2147483647,0
73.209,1,950000,2147483647,0
75.313,1,940000,2147483647,0
77.839,1,930000,2147483647,0
78.191,1,0,2147483647,0
78.65,1,0,920000,0
78.851,1,0,820000,0
79.619,1,0,920000,0
80.129,1,0,2147483647,0
80.318,1,0,890000,0
80.494,1,0,2147483647,0
81.817,1,0,810000,0
82.575,1,0,870000,0
84.952,1,0,880000,0
85.803,1,0,870000,0
86.069,1,0,880000,0
86.403,1,0,850000,0
87.291,1,0,900000,0
88.999,1,0,910000,0
90.66,1,0,2147483647,0
91.167,1,930000,2147483647,0
92.153,1,930000,2147483647,0
92.6,1,930000,2147483647,0
93.469,1,950000,2147483647,0
94.654,1,930000,2147483647,0
95.301,1,0,2147483647,0
95.684,1,0,950000,0
101.287,1,0,1020000,0
101.816,1,0,1070000,0
103.508,1,0,1110000,0
103.921,1,0,2147483647,0
104.064,1,1140000,2147483647,0
104.21,1,0,2147483647,0
104.392,1,1170000,2147483647,0
104.509,1,1210000,2147483647,0
104.582,1,1170000,2147483647,0
105.28,1,0,2147483647,0
105.683,1,0,1130000,0
