arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.8620000000000001,1,1090000,2147483647,0
2.156,1,1030000,2147483647,0
6.95,1,1000000,2147483647,0
8.059,1,990000,2147483647,0
8.705,1,980000,2147483647,0
9.18,1,960000,2147483647,0
9.204,1,1050000,2147483647,0
9.285,1,960000,2147483647,0
9.895,1,960000,1030000,0
10.662,1,950000,1030000,0
11.614,1,1020000,1030000,0
11.641,1,950000,1030000,0
12.566,1,0,1030000,0
12.777,1,0,860000,0
15.427,1,0,910000,0
15.637,1,0,920000,0
15.771999999999998,1,0,930000,0
16.928,1,0,900000,0
18.139,1,0,920000,0
19.471,1,0,970000,0
19.987,1,0,870000,0
21.704,1,0,960000,0
22.494,1,0,970000,0
23.864,1,1030000,2147483647,0
24.036,1,0,2147483647,0
24.566,1,0,920000,0
25.645,1,0,2147483647,0
26.159,1,980000,2147483647,0
26.38,1,1020000,2147483647,0
28.193,1,990000,2147483647,0
28.67,1,980000,2147483647,0
30.07,1,980000,1070000,0
31.353,1,950000,2147483647,0
31.768,1,950000,1060000,0
32.051,1,950000,1070000,0
33.67,1,0,1100000,0
34.526,1,0,2147483647,0
36.056,1,1140000,2147483647,0
37.845,1,1170000,2147483647,0
37.866,1,1140000,2147483647,0
40.783,1,1140000,2147483647,0
41.068,1,1150000,2147483647,0
41.134,1,1140000,2147483647,0
42.954,1,1420000,2147483647,0
44.388,1,1400000,2147483647,0
45.734,1,1360000,2147483647,0
47.072,1,0,2147483647,0
47.327,1,1370000,2147483647,0
47.393,1,0,2147483647,0
48.094,1,1390000,2147483647,0
50.754,1,1380000,2147483647,0
55.142,1,1380000,2147483647,0
55.23,1,1420000,2147483647,0
58.957,1,1400000,2147483647,0
60.866,1,1310000,2147483647,0
60.952,1,1300000,2147483647,0
61.336,1,1410000,2147483647,0
61.375,1,1300000,2147483647,0
61.56,1,1360000,2147483647,0
61.648,1,1300000,2147483647,0
61.691,1,1300000,1310000,0
61.725,1,0,1310000,0
61.895,1,0,2147483647,0
64.008,1,0,1260000,0
64.063,1,0,1250000,0
64.678,1,0,1190000,0
66.127,1,0,1250000,0
67.38,1,0,1220000,0
67.665,1,0,1250000,0
68.661,1,0,1260000,0
71.03,1,0,2147483647,0
71.171,1,1290000,2147483647,0
73.09,1,1410000,2147483647,0
78.238,1,1120000,2147483647,0
79.031,1,1130000,2147483647,0
79.806,1,1120000,2147483647,0
80.046,1,1080000,2147483647,0
84.043,1,0,1050000,0
84.879,1,0,2147483647,0
84.972,1,1180000,2147483647,0
86.154,1,1020000,2147483647,0
86.545,1,1020000,1040000,0
87.247,1,0,1040000,0
88.137,1,0,2147483647,0
88.855,1,1090000,2147483647,0
88.939,1,0,2147483647,0
91.179,1,1070000,2147483647,0
92.737,1,0,2147483647,0
93.28,1,0,960000,0
93.361,1,0,2147483647,0
93.584,1,1220000,2147483647,0
93.759,1,0,2147483647,0
94.883,1,1130000,2147483647,0
96.548,1,0,2147483647,0
97.201,1,0,1060000,0
97.825,1,0,1030000,0
98.39,1,0,930000,0
98.689,1,0,1030000,0
99.34,1,0,1000000,0
99.749,1,0,980000,0
104.12,1,0,1000000,0
105.291,1,0,1080000,0
105.869,1,1040000,1080000,0
106.074,1,1040000,2147483647,0
106.563,1,1060000,2147483647,0
106.9,1,1100000,2147483647,0
107.997,1,1130000,2147483647,0
108.446,1,1100000,2147483647,0
109.467,1,1060000,2147483647,0
109.742,1,1130000,2147483647,0
112.534,1,1170000,2147483647,0
112.7,1,1130000,2147483647,0
114.509,1,1140000,2147483647,0
114.738,1,1130000,2147483647,0
116.482,1,1060000,2147483647,0
117.735,1,1160000,2147483647,0
119.079,1,1120000,2147483647,0
119.956,1,1100000,2147483647,0
120.099,1,1100000,2147483647,0
120.614,1,1100000,2147483647,0
122.899,1,1100000,2147483647,0
123.175,1,1100000,2147483647,0
126.688,1,1160000,2147483647,0
126.932,1,1090000,2147483647,0
126.992,1,0,2147483647,0
127.15,1,1110000,2147483647,0
127.821,1,0,2147483647,0
130.096,1,0,1060000,0
132.36,1,0,950000,0
133.334,1,0,1060000,0
134.028,1,0,1060000,0
135.387,1,0,2147483647,0
135.495,1,0,1020000,0
135.834,1,0,2147483647,0
138.924,1,1220000,2147483647,0
139.78,1,0,2147483647,0
140.176,1,0,1100000,0
142.245,1,0,2147483647,0
144.187,1,1170000,2147483647,0
147.6,1,1150000,2147483647,0
148.951,1,1240000,2147483647,0
150.394,1,1150000,2147483647,0
151.459,1,1140000,2147483647,0
151.469,1,1160000,2147483647,0
152.494,1,1170000,2147483647,0
153.309,1,1160000,2147483647,0
153.554,1,1140000,2147483647,0
153.639,1,1120000,2147483647,0
154.089,1,1150000,2147483647,0
154.491,1,1120000,2147483647,0
154.595,1,1120000,1170000,0
155.848,1,1160000,1170000,0
156.908,1,1120000,1170000,0
159.733,1,0,1030000,0
160.693,1,0,2147483647,0
160.697,1,0,1020000,0
162.845,1,0,2147483647,0
163.129,1,1110000,2147483647,0
164.771,1,0,2147483647,0
167.366,1,1140000,2147483647,0
167.535,1,0,2147483647,0
168.019,1,1210000,2147483647,0
171.656,1,1200000,2147483647,0
173.126,1,1220000,2147483647,0
174.362,1,1200000,2147483647,0
175.459,1,1170000,2147483647,0
175.894,1,1230000,2147483647,0
176.26,1,1150000,2147483647,0
177.975,1,0,2147483647,0
178.539,1,0,1120000,0
