arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
4.993,1,840000,2147483647,0
9.178,1,0,2147483647,0
9.291,1,930000,2147483647,0
10.109,1,0,2147483647,0
16.242,1,890000,2147483647,0
34.519,1,880000,2147483647,0
45.202,1,890000,2147483647,0
46.096,1,890000,910000,0
55.149,1,820000,910000,0
55.513,1,820000,900000,0
56.179,1,820000,910000,0
58.94,1,820000,2147483647,0
59.655,1,0,890000,0
60.911,1,860000,890000,0
70.371,1,760000,890000,0
70.937,1,0,890000,0
73.667,1,700000,890000,0
76.636,1,700000,830000,0
81.621,1,0,830000,0
90.252,1,820000,830000,0
92.849,1,820000,840000,0
