arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.052000000000000005,1,870000,2147483647,0
0.107,1,870000,890000,0
0.26899999999999996,1,870000,900000,0
0.34700000000000003,1,870000,900000,0
0.36,1,870000,900000,0
0.414,1,870000,900000,0
0.672,1,870000,900000,0
0.705,1,890000,900000,0
0.7240000000000001,1,890000,890000,0
1.08,1,890000,900000,0
1.0979999999999999,1,890000,910000,0
1.1159999999999999,1,890000,920000,0
1.281,1,890000,940000,0
1.3019999999999998,1,890000,960000,0
1.33,1,890000,1070000,0
1.395,1,1000000,1070000,0
1.475,1,1000000,1060000,0
1.561,1,1060000,1060000,0
1.682,1,1010000,1060000,0
1.807,1,1010000,1040000,0
1.8530000000000002,1,1030000,1040000,0
2.0,1,1030000,1040000,0
2.039,1,1030000,1040000,0
2.04,1,1030000,1040000,0
2.063,1,1030000,1040000,0
2.559,1,1030000,1060000,0
2.673,1,1030000,1040000,0
2.813,1,1030000,1060000,0
2.918,1,1030000,1060000,0
2.925,1,1030000,1060000,0
3.35,1,1030000,1050000,0
3.359,1,1050000,1050000,0
3.82,1,1050000,1050000,0
3.8480000000000003,1,1030000,1050000,0
3.923,1,1030000,1050000,0
4.023,1,1030000,1050000,0
4.387,1,1030000,1050000,0
4.641,1,1030000,1050000,0
4.6930000000000005,1,1030000,1050000,0
5.438,1,1040000,1050000,0
5.492999999999999,1,1030000,1050000,0
5.553999999999999,1,1030000,1050000,0
5.556,1,1030000,1050000,0
5.656000000000001,1,1050000,1050000,0
5.672999999999999,1,1050000,1060000,0
5.787999999999999,1,1050000,1050000,0
6.398,1,1050000,1050000,0
6.486000000000001,1,1050000,1060000,0
6.593999999999999,1,1050000,1060000,0
6.755,1,1050000,1060000,0
6.772,1,1050000,1060000,0
6.832999999999999,1,1050000,1060000,0
6.858,1,1060000,1060000,0
6.8660000000000005,1,1060000,1060000,0
7.117999999999999,1,1060000,1070000,0
7.277,1,1050000,1070000,0
7.455,1,1050000,1070000,0
7.559,1,1060000,1070000,0
8.084,1,1060000,1060000,0
8.241,1,1060000,1070000,0
8.766,1,1060000,1070000,0
9.047,1,1060000,1060000,0
9.152000000000001,1,1060000,1070000,0
9.224,1,1060000,1060000,0
9.325,1,1060000,1060000,0
9.335,1,1060000,1070000,0
9.367,1,1070000,1070000,0
9.453,1,1060000,1070000,0
9.48,1,1060000,1060000,0
9.741,1,1060000,1060000,0
9.771,1,1060000,1060000,0
10.197000000000001,1,1060000,1070000,0
10.312999999999999,1,1060000,1070000,0
10.479000000000001,1,1060000,1070000,0
10.552,1,1060000,1070000,0
10.603,1,1060000,1070000,0
10.735999999999999,1,1060000,1070000,0
10.77,1,1060000,1070000,0
10.832,1,1060000,1070000,0
11.09,1,1060000,1080000,0
11.210999999999999,1,1060000,1070000,0
11.37,1,1060000,1060000,0
11.595999999999998,1,1060000,1070000,0
11.675,1,1060000,1080000,0
11.977,1,1060000,1080000,0
12.015,1,1060000,1080000,0
12.026,1,1060000,1080000,0
12.052999999999999,1,1050000,1080000,0
12.395,1,1060000,1080000,0
12.397,1,1060000,1070000,0
12.710999999999999,1,1060000,1070000,0
12.827,1,1060000,1060000,0
13.209000000000001,1,1060000,1060000,0
13.24,1,1060000,1070000,0
13.277000000000001,1,1060000,1070000,0
13.289000000000001,1,1060000,1070000,0
13.478,1,1060000,1060000,0
13.539000000000001,1,1060000,1070000,0
13.575999999999999,1,1060000,1070000,0
13.624,1,1060000,1070000,0
13.922,1,1060000,1080000,0
13.99,1,1070000,1080000,0
14.164000000000001,1,1070000,1080000,0
14.296,1,1060000,1080000,0
14.574000000000002,1,1050000,1080000,0
14.718,1,1050000,1070000,0
14.815,1,1050000,1080000,0
14.864,1,1050000,1080000,0
15.123,1,1050000,1080000,0
15.239,1,1050000,1060000,0
15.334000000000001,1,1060000,1060000,0
15.584000000000001,1,1060000,1060000,0
15.742,1,1060000,1060000,0
15.775,1,1060000,1060000,0
15.824000000000002,1,1060000,1060000,0
15.833,1,1060000,1060000,0
15.864,1,1060000,1060000,0
15.87,1,1060000,1060000,0
16.007,1,1060000,1060000,0
16.028,1,1060000,1060000,0
16.04,1,1060000,1060000,0
16.141,1,1060000,1060000,0
16.27,1,1060000,1060000,0
16.288,1,1060000,1060000,0
16.383,1,1060000,1060000,0
16.543,1,1060000,1060000,0
16.602,1,1060000,1060000,0
16.625,1,1060000,1060000,0
16.654,1,1060000,1060000,0
16.656,1,1060000,1060000,0
16.682000000000002,1,1060000,1060000,0
16.695999999999998,1,1060000,1060000,0
16.741,1,1060000,1060000,0
16.879,1,1060000,1060000,0
16.987000000000002,1,1060000,1060000,0
17.005,1,1060000,1060000,0
17.014,1,1060000,1060000,0
17.084,1,1060000,1060000,0
17.147000000000002,1,1060000,1060000,0
17.207,1,1060000,1060000,0
17.266,1,1060000,1060000,0
17.268,1,1060000,1060000,0
17.27,1,1060000,1070000,0
17.294,1,1060000,1080000,0
17.301,1,1070000,1080000,0
17.393,1,1060000,1080000,0
17.394000000000002,1,1060000,1080000,0
17.396,1,1060000,1070000,0
17.531,1,1070000,1070000,0
17.705,1,1070000,1080000,0
17.788,1,1070000,1070000,0
17.922,1,1070000,1070000,0
18.037,1,1070000,1080000,0
18.049,1,1060000,1080000,0
18.141,1,1060000,1080000,0
18.211,1,1060000,1080000,0
18.887,1,1060000,1070000,0
19.459,1,1060000,1080000,0
19.598,1,1060000,1080000,0
19.668,1,1060000,1080000,0
19.775,1,1060000,1080000,0
19.794,1,1060000,1060000,0
19.840999999999998,1,1060000,1060000,0
19.862000000000002,1,1060000,1060000,0
19.942,1,1060000,1060000,0
20.273,1,1060000,1060000,0
20.607,1,1060000,1060000,0
20.628,1,1050000,1060000,0
20.706999999999997,1,1040000,1060000,0
20.752,1,1040000,1050000,0
20.803,1,1050000,1050000,0
20.866999999999997,1,1040000,1050000,0
20.888,1,1040000,1060000,0
20.891,1,1040000,1060000,0
21.002,1,1040000,1040000,0
21.096,1,1040000,1040000,0
21.111,1,1040000,1040000,0
21.289,1,1040000,1040000,0
22.078000000000003,1,1040000,1040000,0
22.125,1,1040000,1040000,0
22.195999999999998,1,1030000,1040000,0
22.248,1,1030000,1040000,0
22.386999999999997,1,1030000,1040000,0
22.485,1,1030000,1040000,0
22.526999999999997,1,1030000,1040000,0
22.666,1,1030000,1040000,0
22.69,1,1030000,1040000,0
22.694000000000003,1,1030000,1040000,0
22.758000000000003,1,1030000,1040000,0
22.79,1,1030000,1040000,0
