arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.37200000000000005,1,0,660000,0
0.659,1,600000,660000,0
0.708,1,650000,660000,0
1.89,1,650000,680000,0
3.323,1,650000,970000,0
4.184,1,970000,970000,0
4.331,1,970000,980000,0
4.805,1,970000,970000,0
4.955,1,970000,980000,0
5.189,1,980000,980000,0
5.796,1,980000,1000000,0
5.865,1,980000,990000,0
6.001,1,970000,990000,0
6.249,1,970000,990000,0
6.806,1,990000,990000,0
7.723,1,970000,990000,0
7.848,1,970000,990000,0
8.561,1,970000,990000,0
10.368,1,990000,990000,0
11.061,1,990000,1000000,0
12.934000000000001,1,950000,1000000,0
13.603,1,970000,1010000,0
13.79,1,950000,1010000,0
14.128,1,950000,1010000,0
14.324000000000002,1,950000,1010000,0
14.485999999999999,1,950000,970000,0
16.277,1,950000,1000000,0
16.359,1,930000,1000000,0
16.601,1,930000,980000,0
16.89,1,970000,980000,0
17.985,1,970000,990000,0
18.497,1,970000,990000,0
21.715999999999998,1,970000,970000,0
21.969,1,970000,990000,0
22.789,1,970000,1040000,0
22.859,1,990000,1040000,0
23.588,1,960000,1040000,0
24.024,1,1010000,2147483647,0
24.674,1,960000,2147483647,0
24.958000000000002,1,960000,980000,0
26.430999999999997,1,950000,980000,0
27.905,1,950000,990000,0
28.346999999999998,1,950000,2147483647,0
28.774,1,930000,1110000,0
29.493000000000002,1,1000000,1110000,0
29.564,1,1020000,1110000,0
30.583000000000002,1,1020000,1040000,0
30.826999999999998,1,1020000,1110000,0
32.578,1,1020000,1090000,0
32.961999999999996,1,1020000,1080000,0
33.571999999999996,1,1060000,1080000,0
34.68,1,1010000,1080000,0
34.69,1,1060000,1080000,0
34.957,1,1060000,1070000,0
36.135,1,1060000,1070000,0
37.491,1,1060000,1070000,0
37.784,1,1060000,1070000,0
39.292,1,1060000,1070000,0
40.035,1,1040000,1070000,0
40.187,1,1040000,1040000,0
42.757,1,1040000,1040000,0
42.81399999999999,1,1040000,1040000,0
45.173,1,1040000,1050000,0
46.663999999999994,1,1040000,1090000,0
47.396,1,1040000,1100000,0
47.608000000000004,1,1040000,1070000,0
47.669,1,1040000,1070000,0
48.137,1,980000,1070000,0
48.316,1,1020000,1070000,0
48.428000000000004,1,1030000,1070000,0
48.835,1,1050000,1070000,0
50.498999999999995,1,1050000,1080000,0
50.702,1,1070000,1080000,0
51.299,1,1070000,1140000,0
51.428999999999995,1,1140000,1140000,0
53.708999999999996,1,1140000,1140000,0
54.761,1,1140000,1140000,0
56.228,1,1080000,1160000,0
56.229,1,1080000,1090000,0
57.782,1,1080000,1090000,0
58.662,1,1090000,1090000,0
61.381,1,1100000,1100000,0
63.303000000000004,1,1100000,1120000,0
63.98,1,1100000,1140000,0
64.92699999999999,1,1110000,1140000,0
65.812,1,1110000,1140000,0
67.227,1,1110000,1140000,0
67.5,1,1110000,1130000,0
68.893,1,1110000,1120000,0
69.439,1,1110000,1120000,0
70.891,1,1110000,1120000,0
71.056,1,1110000,1120000,0
71.08800000000001,1,1110000,1130000,0
72.41199999999999,1,1100000,1130000,0
72.482,1,1090000,1130000,0
73.009,1,1090000,1150000,0
73.616,1,1060000,1150000,0
73.809,1,1060000,1070000,0
73.84899999999999,1,1040000,1070000,0
74.844,1,970000,1150000,0
75.791,1,1130000,1160000,0
76.774,1,1160000,1160000,0
76.88,1,1160000,2147483647,0
76.943,1,1180000,2147483647,0
77.561,1,1200000,2147483647,0
77.97399999999999,1,1220000,2147483647,0
78.443,1,1200000,2147483647,0
78.993,1,1200000,1240000,0
79.87100000000001,1,1200000,1210000,0
80.35600000000001,1,1180000,1210000,0
81.822,1,1180000,1210000,0
82.25299999999999,1,1180000,1180000,0
82.369,1,1170000,1180000,0
