arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
4.17,1,1070000,2147483647,0
5.447,1,1070000,1180000,0
12.482,1,1110000,1180000,0
33.541,1,0,1080000,0
40.326,1,0,1040000,0
43.814,1,1000000,1040000,0
51.804,1,1000000,1140000,0
52.982,1,1070000,1140000,0
54.094,1,1070000,1090000,0
57.886,1,1000000,1090000,0
59.505,1,1020000,1090000,0
64.536,1,1050000,1090000,0
70.913,1,1050000,1100000,0
71.864,1,1050000,1090000,0
80.217,1,980000,1070000,0
82.123,1,1050000,1070000,0
82.376,1,1050000,1090000,0
87.627,1,1050000,2147483647,0
95.765,1,1170000,2147483647,0
99.022,1,0,2147483647,0
