arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.064,1,0,1140000,0
0.095,1,0,1130000,0
0.804,1,1120000,1130000,0
2.084,1,1130000,1130000,0
5.137,1,1130000,1140000,0
6.279,1,1130000,1140000,0
7.515,1,1110000,1140000,0
7.817,1,1070000,1140000,0
8.52,1,970000,1140000,0
8.743,1,990000,1140000,0
9.069,1,1030000,1140000,0
9.301,1,1030000,1040000,0
9.648,1,990000,1040000,0
9.703,1,1000000,1040000,0
10.8,1,990000,1040000,0
11.377,1,990000,1040000,0
12.468,1,1040000,1040000,0
14.166,1,990000,1040000,0
14.262,1,990000,1040000,0
15.448,1,990000,1040000,0
15.73,1,970000,1040000,0
16.84,1,1000000,1040000,0
18.993,1,970000,2147483647,0
19.131,1,980000,2147483647,0
19.353,1,980000,1010000,0
19.536,1,970000,1010000,0
21.643,1,1000000,1010000,0
22.667,1,1010000,1010000,0
24.293,1,1010000,1020000,0
25.692,1,1010000,1020000,0
26.703,1,1020000,1020000,0
29.679,1,990000,1020000,0
30.507,1,0,1020000,0
31.646,1,1000000,1020000,0
32.549,1,1000000,1020000,0
33.165,1,1000000,1020000,0
33.644,1,1000000,1020000,0
34.061,1,1000000,1020000,0
34.086,1,1000000,1000000,0
34.224,1,1000000,1000000,0
36.826,1,1000000,1000000,0
38.118,1,1000000,1020000,0
38.322,1,990000,1020000,0
38.598,1,1000000,1020000,0
40.434,1,1000000,1000000,0
40.84,1,1000000,1020000,0
40.863,1,1020000,1020000,0
41.195,1,1000000,1020000,0
41.262,1,1000000,2147483647,0
41.409,1,1000000,1010000,0
41.608,1,1000000,1000000,0
43.729,1,990000,1000000,0
44.149,1,1000000,1000000,0
44.155,1,1000000,1000000,0
44.519,1,1000000,1000000,0
44.678,1,1000000,1010000,0
44.944,1,1000000,1010000,0
45.035,1,1000000,1010000,0
45.98,1,1000000,1010000,0
46.006,1,1000000,1010000,0
46.799,1,1000000,1020000,0
47.313,1,1000000,1020000,0
47.889,1,1000000,1020000,0
48.28,1,1000000,1020000,0
49.927,1,1000000,1000000,0
49.931,1,1000000,1020000,0
50.326,1,1020000,1020000,0
51.263,1,1030000,1090000,0
51.978,1,1020000,1090000,0
52.052,1,1020000,1030000,0
52.643,1,1020000,1040000,0
54.611,1,1020000,1040000,0
55.391,1,1010000,1040000,0
57.997,1,1010000,1040000,0
58.262,1,990000,1040000,0
58.434,1,990000,1020000,0
59.196,1,980000,1020000,0
59.948,1,980000,1010000,0
61.381,1,1100000,1100000,0
63.303,1,1100000,1120000,0
63.98,1,1100000,1140000,0
64.927,1,1110000,1140000,0
65.812,1,1110000,1140000,0
67.227,1,1110000,1140000,0
67.5,1,1110000,1130000,0
68.893,1,1110000,1120000,0
69.439,1,1110000,1120000,0
70.891,1,1110000,1120000,0
71.056,1,1110000,1120000,0
71.088,1,1110000,1130000,0
72.412,1,1100000,1130000,0
72.482,1,1090000,1130000,0
73.009,1,1090000,1150000,0
73.616,1,1060000,1150000,0
73.809,1,1060000,1070000,0
73.849,1,1040000,1070000,0
74.844,1,970000,1150000,0
75.791,1,1130000,1160000,0
76.774,1,1160000,1160000,0
76.88,1,1160000,2147483647,0
76.943,1,1180000,2147483647,0
77.561,1,1200000,2147483647,0
77.974,1,1220000,2147483647,0
78.443,1,1200000,2147483647,0
78.993,1,1200000,1240000,0
79.871,1,1200000,1210000,0
80.356,1,1180000,1210000,0
81.822,1,1180000,1210000,0
82.253,1,1180000,1180000,0
82.369,1,1170000,1180000,0
82.375,1,1170000,1170000,0
87.19,1,1160000,1170000,0
87.752,1,1160000,1180000,0
88.218,1,1170000,1180000,0
88.429,1,1170000,1180000,0
91.319,1,1160000,1180000,0
92.138,1,1160000,1180000,0
92.228,1,1160000,1200000,0
93.57,1,1160000,1210000,0
94.786,1,1170000,1210000,0
94.864,1,1170000,1200000,0
95.155,1,1170000,1200000,0
95.848,1,1170000,1200000,0
96.502,1,1200000,1200000,0
96.763,1,1170000,1200000,0
97.182,1,1190000,1200000,0
99.52,1,1170000,1200000,0
99.627,1,1170000,1180000,0
100.024,1,1170000,1180000,0
100.172,1,1160000,1180000,0
101.042,1,1180000,1180000,0
105.014,1,1180000,1200000,0
105.021,1,1180000,1200000,0
106.16,1,1180000,1200000,0
107.054,1,1180000,1200000,0
107.431,1,1160000,1200000,0
107.865,1,1160000,1220000,0
108.198,1,1160000,1170000,0
109.027,1,1160000,1190000,0
109.302,1,1140000,1190000,0
111.184,1,1160000,1190000,0
111.64,1,1170000,1190000,0
114.655,1,1160000,1210000,0
116.086,1,1090000,1210000,0
116.889,1,1080000,1240000,0
117.035,1,1080000,1090000,0
119.455,1,1020000,1090000,0
120.77,1,1050000,1090000,0
120.954,1,1020000,1090000,0
121.025,1,1090000,1090000,0
122.548,1,1090000,1090000,0
123.431,1,1090000,1100000,0
123.545,1,1090000,1110000,0
123.657,1,1090000,1120000,0
123.67,1,1090000,1130000,0
124.133,1,1090000,2147483647,0
124.242,1,1110000,2147483647,0
124.566,1,1110000,1180000,0
124.724,1,1170000,1180000,0
125.933,1,1150000,1180000,0
126.669,1,1150000,1170000,0
128.978,1,1140000,1170000,0
129.265,1,1140000,1180000,0
130.394,1,1120000,1180000,0
130.719,1,1120000,1120000,0
132.42,1,1060000,1120000,0
133.97,1,1060000,1060000,0
134.671,1,1060000,1090000,0
135.606,1,1060000,1090000,0
135.945,1,1060000,1090000,0
136.095,1,1040000,1090000,0
137.391,1,1040000,1070000,0
137.566,1,1050000,1070000,0
140.776,1,1020000,1070000,0
141.501,1,1020000,1060000,0
141.604,1,1020000,1030000,0
142.709,1,1030000,1030000,0
144.639,1,1030000,1060000,0
145.601,1,1050000,1060000,0
146.057,1,1050000,1060000,0
146.853,1,1050000,1070000,0
148.421,1,1050000,1070000,0
148.759,1,1050000,1050000,0
148.832,1,1050000,1070000,0
149.42,1,1050000,1070000,0
149.736,1,1050000,1070000,0
149.842,1,1050000,1070000,0
149.875,1,1050000,1070000,0
150.102,1,1050000,1070000,0
150.379,1,1050000,1060000,0
151.284,1,1040000,1060000,0
151.658,1,1040000,1060000,0
151.698,1,1040000,1060000,0
151.748,1,1040000,1060000,0
151.787,1,1040000,1060000,0
152.096,1,1050000,1060000,0
152.179,1,1050000,1060000,0
152.199,1,1050000,1060000,0
152.773,1,1050000,1060000,0
153.258,1,1050000,1060000,0
153.294,1,1050000,1060000,0
153.415,1,1050000,1060000,0
153.51,1,1050000,1050000,0
156.283,1,1050000,1060000,0
156.507,1,1050000,1060000,0
157.174,1,1030000,1070000,0
157.375,1,1040000,1070000,0
157.527,1,1040000,1040000,0
157.576,1,1030000,1040000,0
157.606,1,1030000,1040000,0
157.898,1,1040000,1040000,0
159.02,1,1040000,1040000,0
159.424,1,1040000,1040000,0
160.065,1,1040000,1080000,0
160.193,1,1040000,1060000,0
160.383,1,1040000,1040000,0
162.895,1,1040000,1060000,0
163.266,1,1030000,1060000,0
165.199,1,1030000,1040000,0
165.606,1,1030000,1040000,0
166.193,1,1030000,1040000,0
166.678,1,1020000,1040000,0
166.949,1,1020000,1030000,0
167.053,1,1010000,1030000,0
168.143,1,1010000,1040000,0
169.043,1,1020000,1040000,0
169.132,1,1020000,1020000,0
170.796,1,1020000,1050000,0
171.21,1,1040000,1050000,0
171.649,1,1020000,1050000,0
172.181,1,1020000,1050000,0
172.323,1,1020000,1040000,0
173.535,1,1020000,1040000,0
173.892,1,1020000,1040000,0
174.649,1,1020000,1020000,0
174.818,1,1020000,1040000,0
175.249,1,1030000,1040000,0
175.64,1,1030000,1040000,0
176.625,1,1030000,1040000,0
177.106,1,1030000,1040000,0
177.262,1,1030000,1040000,0
177.609,1,1040000,1040000,0
177.993,1,1030000,1040000,0
178.444,1,1030000,1040000,0
179.247,1,1030000,1060000,0
179.662,1,1040000,1060000,0
179.881,1,1060000,1060000,0
179.944,1,1040000,1060000,0
