arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
1.202,1,0,1010000,N/A
3.357,1,0,2147483647,N/A
3.455,1,0,1080000,N/A
3.551,1,0,1060000,N/A
7.551,1,0,1080000,N/A
9.153,1,980000,1080000,N/A
9.389,1,980000,1030000,N/A
12.925,1,980000,1020000,N/A
13.153,1,0,1020000,N/A
13.882,1,0,1060000,N/A
14.929,1,1030000,1060000,N/A
16.931,1,1030000,2147483647,N/A
18.115,1,1100000,2147483647,N/A
19.741,1,1070000,2147483647,N/A
19.9,1,1070000,1090000,N/A
22.186,1,1050000,1090000,N/A
22.359,1,0,1090000,N/A
23.9,1,0,2147483647,N/A
24.222,1,1050000,2147483647,N/A
24.66,1,1090000,2147483647,N/A
28.66,1,1040000,2147483647,N/A
28.978,1,1040000,1130000,N/A
30.484,1,1040000,1190000,N/A
30.662,1,0,1190000,N/A
32.916,1,0,2147483647,N/A
35.323,1,1180000,2147483647,N/A
35.42,1,1180000,1210000,N/A
35.545,1,1180000,2147483647,N/A
38.548,1,1130000,2147483647,N/A
38.8,1,1130000,1170000,N/A
40.334,1,0,1170000,N/A
42.8,1,0,2147483647,N/A
46.703,1,1100000,2147483647,N/A
48.058,1,1140000,2147483647,N/A
49.924,1,1210000,2147483647,N/A
50.006,1,1140000,2147483647,N/A
52.058,1,1130000,2147483647,N/A
55.1,1,1140000,2147483647,N/A
59.55,1,1100000,2147483647,N/A
59.941,1,0,2147483647,N/A
62.723,1,0,1170000,N/A
62.849,1,0,1110000,N/A
63.343,1,1100000,1110000,N/A
66.849,1,1100000,1150000,N/A
67.343,1,0,1150000,N/A
68.721,1,1140000,1150000,N/A
70.418,1,1140000,1160000,N/A
70.487,1,1140000,2147483647,N/A
72.358,1,1140000,1270000,N/A
72.721,1,0,1270000,N/A
73.991,1,1210000,1270000,N/A
75.692,1,1210000,1260000,N/A
76.679,1,1210000,1220000,N/A
79.357,1,1210000,1260000,N/A
79.692,1,1210000,1270000,N/A
80.444,1,1210000,2147483647,N/A
80.547,1,1330000,2147483647,N/A
81.318,1,0,2147483647,N/A
81.498,1,0,1310000,N/A
81.987,1,0,2147483647,N/A
83.1,1,0,1310000,N/A
83.569,1,1270000,1310000,N/A
84.215,1,1270000,1280000,N/A
88.463,1,1270000,1300000,N/A
89.039,1,1280000,1300000,N/A
89.679,1,1280000,2147483647,N/A
91.312,1,1290000,2147483647,N/A
95.312,1,1280000,2147483647,N/A
96.968,1,1280000,1390000,N/A
97.119,1,0,1390000,N/A
97.99,1,1240000,1390000,N/A
98.111,1,1240000,1310000,N/A
99.078,1,1240000,1290000,N/A
101.872,1,1240000,1310000,N/A
101.99,1,0,1310000,N/A
102.111,1,0,2147483647,N/A
102.204,1,0,1340000,N/A
104.164,1,1330000,1340000,N/A
108.164,1,1320000,1340000,N/A
108.791,1,1320000,1400000,N/A
109.639,1,1270000,1400000,N/A
110.074,1,0,1400000,N/A
111.868,1,0,2147483647,N/A
112.529,1,0,1290000,N/A
115.437,1,1250000,1290000,N/A
117.059,1,1250000,2147483647,N/A
118.155,1,1250000,1390000,N/A
118.663,1,1310000,1390000,N/A
119.524,1,1270000,1390000,N/A
119.652,1,1270000,1350000,N/A
120.457,1,1320000,1350000,N/A
124.327,1,1320000,1370000,N/A
124.457,1,1290000,1370000,N/A
124.689,1,1270000,1370000,N/A
125.148,1,1270000,2147483647,N/A
126.231,1,1260000,2147483647,N/A
127.36,1,1260000,1360000,N/A
128.041,1,1270000,1360000,N/A
132.041,1,1250000,1360000,N/A
132.125,1,1300000,1360000,N/A
133.667,1,1300000,1370000,N/A
135.644,1,1300000,2147483647,N/A
136.125,1,0,2147483647,N/A
137.007,1,1240000,2147483647,N/A
137.501,1,1250000,2147483647,N/A
137.741,1,1320000,2147483647,N/A
139.594,1,1250000,2147483647,N/A
141.226,1,1250000,1370000,N/A
141.501,1,0,1370000,N/A
141.607,1,1350000,1370000,N/A
145.226,1,1350000,1380000,N/A
145.585,1,0,1380000,N/A
147.381,1,0,1390000,N/A
150.985,1,0,2147483647,N/A
150.986,1,0,1210000,N/A
153.482,1,0,2147483647,N/A
153.628,1,1190000,2147483647,N/A
154.524,1,1270000,2147483647,N/A
154.921,1,1190000,2147483647,N/A
154.952,1,1190000,1230000,N/A
157.427,1,1190000,1210000,N/A
157.628,1,0,1210000,N/A
159.454,1,0,1170000,N/A
160.08,1,1100000,1170000,N/A
163.454,1,1100000,1180000,N/A
164.08,1,1070000,1180000,N/A
165.077,1,0,1180000,N/A
165.268,1,1060000,1180000,N/A
165.461,1,1060000,1080000,N/A
166.881,1,0,1080000,N/A
166.912,1,0,1070000,N/A
170.329,1,1020000,1070000,N/A
174.329,1,0,1070000,N/A
176.554,1,0,1100000,N/A
176.699,1,0,2147483647,N/A
178.502,1,1020000,2147483647,N/A
