arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.099,1,980000,990000,0
0.099,1,980000,990000,0
0.1,1,980000,990000,0
0.1,1,980000,990000,0
0.775,1,980000,990000,0
1.732,1,980000,990000,0.5
3.139,1,980000,990000,0.5
3.67,1,980000,990000,0.5
4.156,1,980000,990000,0.5
4.805,1,980000,990000,0.5
4.849,1,980000,990000,-0.02
4.866,1,980000,990000,-0.02
5.121,1,980000,990000,0.98
5.351,1,980000,990000,0.98
5.401,1,980000,990000,1.98
5.656,1,980000,990000,1.98
5.837,1,980000,990000,1.98
6.882,1,980000,990000,2.95
8.475,1,980000,990000,2.95
8.974,1,980000,990000,2.95
9.139,1,980000,990000,2.95
9.716,1,980000,990000,3.87
9.717,1,980000,990000,3.87
10.111,1,980000,990000,2.85
10.111,1,980000,990000,2.85
10.461,1,980000,990000,2.85
10.709,1,980000,990000,1.83
10.709,1,980000,990000,1.83
11.623,1,980000,990000,2.81
12.087,1,980000,990000,2.81
12.21,1,980000,990000,2.81
12.43,1,980000,990000,3.79
12.443,1,980000,990000,4.79
12.66,1,980000,990000,4.79
12.806,1,980000,990000,4.79
12.811,1,980000,990000,4.79
13.371,1,980000,990000,4.79
13.454,1,980000,990000,3.74
13.527,1,980000,990000,3.74
13.673,1,980000,990000,3.74
13.731,1,980000,990000,3.74
14.34,1,980000,990000,3.74
16.187,1,980000,990000,4.64
16.326,1,980000,990000,5.63
16.558,1,980000,990000,5.63
17.137,1,980000,990000,5.63
17.504,1,980000,990000,5.63
17.54,1,980000,990000,6.56
18.132,1,980000,990000,6.56
18.668,1,980000,990000,6.56
18.668,1,980000,990000,6.56
18.669,1,980000,990000,6.56
18.685,1,980000,990000,6.56
18.685,1,980000,990000,6.56
18.788,1,980000,990000,7.48
18.788,1,980000,990000,7.48
19.177,1,980000,990000,7.48
19.214,1,980000,990000,7.48
19.476,1,980000,990000,7.48
19.477,1,980000,990000,7.48
20.002,1,980000,990000,8.39
20.825,1,980000,990000,9.32
21.082,1,980000,990000,9.32
21.618,1,980000,990000,9.32
21.85,1,980000,990000,9.32
22.08,1,980000,990000,10.2
22.774,1,980000,990000,10.2
22.775,1,980000,990000,10.2
22.854,1,980000,990000,11.12
24.036,1,980000,1000000,11.99
24.586,1,980000,1000000,11.99
24.586,1,980000,1000000,11.99
26.196,1,980000,1000000,11.99
26.196,1,980000,1000000,11.99
26.197,1,990000,1000000,11.99
27.822,1,990000,1000000,11.99
27.822,1,990000,1000000,11.99
28.171,1,990000,1000000,11.99
28.35,1,990000,1000000,11.99
28.717,1,990000,1000000,11.99
29.044,1,990000,1000000,11.99
29.317,1,990000,1000000,11.99
29.804,1,990000,1000000,11.99
30.284,1,990000,1000000,11.99
31.259,1,990000,1000000,11.99
31.259,1,990000,1000000,11.99
31.504,1,990000,1000000,11.99
32.288,1,990000,1000000,10.04
32.546,1,990000,1000000,10.04
33.739,1,990000,1000000,8.9
33.74,1,990000,1000000,8.9
33.74,1,990000,1000000,8.9
33.74,1,990000,1000000,8.9
34.025,1,990000,1000000,7.87
34.673,1,990000,1000000,6.82
34.674,1,980000,1000000,6.82
34.813,1,980000,1000000,6.82
34.813,1,980000,990000,6.82
35.744,1,980000,990000,6.82
35.864,1,980000,990000,5.74
36.169,1,980000,990000,6.72
37.008,1,960000,990000,6.72
37.008,1,960000,990000,6.72
37.66,1,960000,980000,6.72
37.683,1,960000,990000,7.62
37.933,1,960000,990000,7.62
39.347,1,960000,990000,7.62
39.588,1,960000,990000,7.62
40.027,1,970000,990000,7.62
40.123,1,970000,990000,8.44
40.432,1,980000,990000,8.44
40.491,1,980000,990000,9.41
40.709,1,980000,990000,9.41
40.832,1,980000,990000,10.38
41.22,1,980000,1000000,11.34
41.324,1,980000,1000000,11.34
41.421,1,980000,1000000,10.32
42.379,1,990000,1000000,10.32
42.91,1,990000,1000000,9.17
42.91,1,980000,1000000,9.17
43.521,1,980000,990000,9.17
43.874,1,970000,990000,8.08
44.428,1,970000,990000,7.04
44.445,1,970000,990000,6.04
45.347,1,980000,990000,6.04
45.4,1,970000,990000,4.98
47.067,1,970000,990000,4.98
47.232,1,960000,990000,3.89
47.255,1,960000,990000,3.39
47.964,1,960000,970000,3.39
48.279,1,960000,970000,3.39
48.735,1,960000,980000,4.34
49.043,1,960000,980000,4.34
49.528,1,960000,970000,4.34
49.64,1,960000,980000,5.3
49.754,1,960000,980000,5.3
49.801,1,970000,980000,5.3
50.758,1,960000,980000,4.24
50.762,1,950000,980000,3.24
50.878,1,950000,980000,2.24
52.036,1,960000,980000,2.24
52.218,1,950000,980000,1.21
52.26,1,960000,980000,1.21
52.399,1,960000,980000,1.21
52.553,1,960000,970000,1.21
53.077,1,960000,970000,1.21
53.656,1,960000,970000,0.19
54.341,1,960000,970000,0.19
54.589,1,960000,970000,0.19
55.018,1,960000,970000,0.19
56.093,1,960000,970000,0.19
56.336,1,960000,970000,0.19
57.69,1,960000,970000,0.19
57.691,1,960000,970000,0.19
58.262,1,960000,970000,0.19
58.263,1,960000,970000,0.19
58.829,1,960000,970000,1.18
59.148,1,960000,970000,2.18
59.55,1,960000,970000,2.18
59.91,1,950000,970000,3.16
59.911,1,950000,970000,3.16
59.911,1,950000,980000,3.16
59.995,1,950000,980000,4.16
