arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force
0.069,1,1290000,B,5
0.229,1,1360000,S,5
0.273,1,1310000,S,5
0.464,1,1380000,S,5
0.949,1,1330000,S,5
2.056,1,1410000,S,5
2.143,1,1350000,S,5
2.398,1,1360000,S,5
2.509,1,1270000,B,5
2.651,1,1310000,S,5
3.456,1,1300000,B,5
3.684,1,1240000,B,5
3.948,1,1320000,B,5
4.214,1,1320000,B,5
4.654,1,1320000,S,5
4.784,1,1340000,B,5
5.719,1,1300000,B,5
6.45,1,1340000,S,5
6.653,1,1300000,B,5
6.767,1,1280000,B,5
8.663,1,1310000,S,5
9.174,1,1250000,B,5
9.378,1,1320000,B,5
9.4,1,1340000,S,5
9.485,1,1300000,S,5
9.813,1,1380000,B,5
9.851,1,1270000,S,5
9.886,1,1350000,S,5
11.257,1,1330000,B,5
12.775,1,1330000,S,5
13.293,1,1390000,S,5
13.627,1,1340000,S,5
13.707,1,1360000,S,5
14.929,1,1390000,S,5
15.186,1,1320000,B,5
15.324,1,1350000,S,5
15.461,1,1360000,S,5
15.57,1,1330000,S,5
15.595,1,1380000,S,5
15.651,1,1320000,B,5
15.937,1,1320000,S,5
15.978,1,1350000,B,5
16.064,1,1320000,S,5
16.269,1,1340000,B,5
16.328,1,1310000,B,5
16.757,1,1320000,B,5
16.888,1,1280000,B,5
17.093,1,1320000,B,5
17.931,1,1250000,B,5
17.993,1,1300000,S,5
18.014,1,1340000,S,5
18.653,1,1370000,S,5
18.8,1,1350000,S,5
19.302,1,1350000,B,5
19.404,1,1380000,S,5
19.842,1,1340000,S,5
20.571,1,1240000,B,5
20.904,1,1290000,B,5
21.748,1,1300000,B,5
21.857,1,1320000,S,5
22.14,1,1320000,S,5
22.173,1,1370000,S,5
22.486,1,1250000,B,5
22.576,1,1290000,S,5
22.706,1,1360000,S,5
23.039,1,1270000,B,5
23.071,1,1340000,S,5
23.327,1,1370000,S,5
23.398,1,1260000,B,5
23.55,1,1270000,B,5
23.782,1,1370000,S,5
24.007,1,1340000,S,5
24.176,1,1340000,S,5
24.209,1,1320000,B,5
24.992,1,1340000,B,5
25.312,1,1340000,S,5
25.423,1,1350000,S,5
25.673,1,1350000,S,5
26.532,1,1360000,S,5
26.786,1,1380000,S,5
26.876,1,1370000,S,5
26.953,1,1400000,S,5
26.969,1,1340000,S,5
27.532,1,1360000,S,5
27.547,1,1320000,S,5
27.706,1,1330000,S,5
28.091,1,1310000,B,5
28.945,1,1290000,B,5
29.208,1,1320000,B,5
29.419,1,1320000,S,5
29.645,1,1310000,B,5
29.65,1,1300000,S,5
29.814,1,1300000,B,5
30.524,1,1310000,B,5
30.702,1,1320000,S,5
30.827,1,1380000,S,5
31.738,1,1270000,B,5
32.594,1,970000,S,5
33.006,1,960000,B,5
33.413,1,970000,S,5
33.841,1,1090000,B,5
34.079,1,1070000,B,5
34.425,1,1110000,S,5
34.498,1,1080000,B,5
34.585,1,1090000,S,5
34.806,1,1120000,S,5
34.823,1,1030000,B,5
34.918,1,1090000,S,5
35.237,1,1160000,S,5
36.713,1,1140000,S,5
36.808,1,1100000,B,5
36.84,1,1120000,B,5
37.465,1,1060000,B,5
37.808,1,1190000,S,5
38.592,1,1110000,B,5
38.882,1,1090000,B,5
40.514,1,1100000,S,5
40.642,1,1110000,S,5
40.745,1,1140000,S,5
41.297,1,1130000,S,5
41.313,1,1070000,S,5
41.864,1,1120000,S,5
42.105,1,1110000,S,5
42.455,1,1140000,S,5
42.94,1,1050000,S,5
42.953,1,1110000,B,5
43.891,1,1160000,S,5
44.857,1,1110000,S,5
44.971,1,1080000,B,5
45.005,1,1040000,B,5
45.06,1,1150000,S,5
45.994,1,1130000,S,5
46.096,1,1130000,B,5
46.28,1,1100000,S,5
46.42,1,1070000,B,5
46.828,1,1110000,S,5
46.969,1,1070000,S,5
47.072,1,1070000,B,5
47.136,1,1130000,S,5
48.097,1,1120000,S,5
48.376,1,1170000,S,5
48.459,1,1090000,B,5
48.839,1,1260000,S,5
50.427,1,1180000,B,5
51.034,1,1160000,B,5
51.694,1,1190000,S,5
51.846,1,1220000,S,5
52.109,1,1220000,S,5
52.162,1,1230000,S,5
52.757,1,1300000,S,5
52.921,1,1180000,S,5
53.214,1,1170000,S,5
53.836,1,1200000,B,5
53.98,1,1190000,S,5
54.734,1,1220000,S,5
54.89,1,1100000,B,5
55.57,1,1200000,B,5
56.144,1,1280000,S,5
56.438,1,1130000,B,5
56.636,1,1180000,B,5
56.74,1,1180000,B,5
56.82,1,1160000,B,5
58.084,1,1220000,S,5
58.231,1,1210000,B,5
58.713,1,1170000,B,5
59.402,1,1220000,B,5
59.437,1,1190000,B,5
59.966,1,1200000,S,5
60.003,1,1170000,B,5
60.761,1,1170000,B,5
61.514,1,1240000,S,5
61.718,1,1220000,B,5
61.773,1,1220000,B,5
61.919,1,1260000,S,5
61.963,1,1210000,S,5
62.438,1,1240000,B,5
62.893,1,1200000,S,5
63.015,1,1210000,B,5
63.114,1,1220000,S,5
63.207,1,1170000,B,5
63.344,1,1180000,B,5
63.705,1,1240000,S,5
63.961,1,1210000,B,5
64.404,1,1220000,B,5
64.417,1,1200000,B,5
65.014,1,1170000,B,5
65.018,1,1280000,S,5
66.356,1,1250000,B,5
66.364,1,1170000,B,5
67.26,1,1230000,S,5
67.346,1,1270000,S,5
67.639,1,1200000,B,5
68.406,1,1250000,S,5
68.867,1,1230000,S,5
68.969,1,1230000,S,5
69.323,1,1200000,S,5
71.135,1,1260000,B,5
71.298,1,1230000,S,5
71.449,1,1250000,S,5
71.658,1,1180000,B,5
71.969,1,1130000,B,5
71.988,1,1160000,S,5
72.299,1,1220000,S,5
72.354,1,1230000,S,5
72.848,1,1230000,S,5
72.936,1,1180000,B,5
73.062,1,1130000,B,5
73.268,1,1190000,S,5
73.645,1,1170000,S,5
74.782,1,1250000,S,5
76.192,1,1190000,S,5
76.802,1,1200000,B,5
76.838,1,1200000,S,5
76.856,1,1170000,B,5
77.36,1,1250000,S,5
77.377,1,1170000,S,5
77.538,1,1200000,S,5
77.623,1,1200000,B,5
78.03,1,1240000,S,5
79.162,1,1220000,S,5
80.377,1,1220000,S,5
80.505,1,1230000,S,5
80.921,1,1170000,B,5
81.337,1,1180000,B,5
81.692,1,1240000,S,5
81.916,1,1250000,S,5
82.412,1,1190000,S,5
82.596,1,1230000,B,5
83.473,1,1230000,S,5
83.487,1,1190000,B,5
84.741,1,1200000,B,5
85.192,1,1180000,B,5
86.342,1,1120000,B,5
86.505,1,1220000,S,5
86.544,1,1200000,S,5
86.907,1,1200000,B,5
87.184,1,1230000,S,5
87.207,1,1230000,S,5
87.278,1,1230000,S,5
87.31,1,1140000,B,5
87.697,1,1170000,B,5
88.397,1,1170000,S,5
88.644,1,1160000,B,5
89.397,1,1210000,B,5
89.731,1,1270000,S,5
90.002,1,1260000,S,5
90.413,1,1320000,S,5
91.853,1,1310000,B,5
92.045,1,1220000,B,5
92.29,1,1310000,S,5
92.529,1,1250000,B,5
93.0,1,1280000,S,5
93.263,1,1260000,B,5
93.511,1,1320000,S,5
94.621,1,1330000,S,5
95.182,1,1290000,B,5
95.515,1,1250000,B,5
95.618,1,1270000,S,5
96.248,1,1310000,S,5
96.437,1,1280000,B,5
96.814,1,1280000,S,5
96.822,1,1220000,B,5
97.043,1,1300000,S,5
97.459,1,1280000,B,5
97.757,1,1300000,B,5
98.193,1,1300000,S,5
98.288,1,1270000,B,5
98.688,1,1320000,S,5
98.933,1,1300000,S,5
98.995,1,1310000,B,5
99.016,1,1300000,B,5
99.139,1,1290000,B,5
99.147,1,1260000,B,5
99.276,1,1290000,S,5
99.29,1,1300000,S,5
100.238,1,1340000,S,5
100.394,1,1360000,S,5
100.43,1,1300000,B,5
100.46,1,1390000,S,5
100.645,1,1310000,S,5
101.182,1,1370000,S,5
101.211,1,1260000,B,5
101.471,1,1370000,S,5
102.019,1,1290000,B,5
102.499,1,1280000,B,5
104.018,1,1350000,S,5
104.166,1,1310000,B,5
104.808,1,1310000,S,5
105.099,1,1260000,B,5
105.241,1,1320000,B,5
105.585,1,1300000,B,5
105.73,1,1300000,B,5
106.411,1,1290000,S,5
106.44,1,1330000,B,5
106.779,1,1340000,S,5
107.751,1,1280000,B,5
107.958,1,1320000,B,5
108.048,1,1330000,S,5
108.092,1,1320000,S,5
108.434,1,1390000,S,5
108.482,1,1340000,S,5
108.828,1,1340000,B,5
108.843,1,1320000,B,5
109.234,1,1300000,S,5
109.304,1,1300000,S,5
109.344,1,1320000,S,5
109.561,1,1270000,B,5
109.855,1,1230000,B,5
109.895,1,1330000,S,5
110.54,1,1340000,S,5
110.715,1,1330000,S,5
110.822,1,1270000,B,5
111.181,1,1300000,B,5
111.525,1,1250000,B,5
111.584,1,1280000,B,5
111.988,1,1300000,B,5
112.28,1,1320000,B,5
112.487,1,1340000,S,5
115.311,1,1310000,B,5
115.623,1,1280000,S,5
115.674,1,1390000,S,5
115.863,1,1320000,S,5
116.64,1,1290000,B,5
116.815,1,1350000,S,5
116.827,1,1310000,B,5
116.84,1,1300000,B,5
117.721,1,1340000,S,5
117.735,1,1310000,S,5
117.748,1,1360000,S,5
118.851,1,1250000,B,5
118.868,1,1320000,S,5
119.528,1,1300000,B,5
119.881,1,1280000,S,5
120.185,1,1320000,B,5
120.403,1,1280000,B,5
120.405,1,1300000,B,5
120.439,1,1270000,B,5
120.758,1,1280000,B,5
120.768,1,1300000,B,5
121.338,1,1280000,S,5
121.377,1,1270000,S,5
122.085,1,1360000,S,5
122.213,1,1200000,B,5
122.684,1,1300000,S,5
122.738,1,1320000,B,5
122.781,1,1300000,B,5
123.472,1,1330000,B,5
123.504,1,1360000,S,5
123.525,1,1280000,B,5
123.671,1,1290000,S,5
123.708,1,1380000,B,5
123.92,1,1340000,S,5
123.981,1,1330000,B,5
124.124,1,1290000,B,5
124.196,1,1320000,B,5
124.343,1,1370000,S,5
124.352,1,1320000,S,5
124.491,1,1320000,S,5
124.903,1,1380000,S,5
125.451,1,1300000,B,5
125.462,1,1340000,S,5
125.927,1,1300000,B,5
126.466,1,1280000,B,5
126.924,1,1310000,B,5
127.466,1,1370000,S,5
127.645,1,1350000,B,5
127.68,1,1400000,S,5
128.299,1,1290000,B,5
128.843,1,1330000,S,5
128.864,1,1310000,S,5
129.592,1,1270000,B,5
