arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.052,1,870000,S,5,868928.951
0.107,1,870000,S,5,868928.951
0.156,1,860000,B,5,868928.951
0.158,1,960000,S,5,868928.951
0.21,1,870000,B,5,868928.951
0.24,1,820000,B,5,868928.951
0.269,1,880000,S,5,868928.951
0.449,1,850000,B,5,868928.951
0.672,1,870000,S,5,868928.951
0.705,1,860000,S,5,868928.951
0.803,1,970000,S,5,868928.951
0.984,1,1060000,B,5,1046274.816
1.08,1,1010000,B,5,1046274.816
1.098,1,1080000,S,5,1046274.816
1.174,1,1000000,B,5,1046274.816
1.33,1,1110000,S,5,1046274.816
1.395,1,1100000,S,5,1046274.816
1.561,1,1060000,S,5,1046274.816
1.583,1,1040000,B,5,1046274.816
1.682,1,1020000,B,5,1046274.816
1.807,1,1100000,S,5,1046274.816
1.853,1,1020000,B,5,1046274.816
1.871,1,1060000,B,5,1046274.816
2.04,1,1010000,B,5,1046274.816
2.673,1,1010000,B,5,1046274.816
3.046,1,1030000,S,5,1046274.816
3.091,1,1040000,B,5,1046274.816
3.392,1,1040000,B,5,1046274.816
3.51,1,1070000,B,5,1046274.816
3.591,1,1040000,B,5,1046274.816
3.621,1,1010000,S,5,1046274.816
3.682,1,1020000,B,5,1046274.816
3.707,1,1060000,B,5,1046274.816
3.923,1,1000000,S,5,1046274.816
4.023,1,1000000,B,5,1046274.816
4.348,1,970000,B,5,1046274.816
4.387,1,1020000,S,5,1046274.816
4.641,1,1010000,B,5,1046274.816
4.72,1,1030000,S,5,1046274.816
4.824,1,960000,B,5,1046274.816
4.858,1,1080000,S,5,1046274.816
4.884,1,1030000,S,5,1046274.816
5.046,1,1080000,B,5,1046274.816
5.113,1,1040000,B,5,1046274.816
5.13,1,1020000,B,5,1046274.816
5.143,1,1020000,S,5,1046274.816
5.177,1,1000000,B,5,1046274.816
5.438,1,1050000,B,5,1046274.816
5.554,1,1030000,B,5,1046274.816
5.574,1,1020000,S,5,1046274.816
5.656,1,1060000,B,5,1046274.816
5.673,1,1020000,B,5,1046274.816
5.701,1,1040000,S,5,1046274.816
5.744,1,1040000,S,5,1046274.816
5.851,1,1060000,S,5,1046274.816
6.212,1,1020000,B,5,1046274.816
6.27,1,1020000,S,5,1046274.816
6.347,1,1030000,B,5,1046274.816
6.399,1,1050000,B,5,1046274.816
6.594,1,1150000,S,5,1046274.816
6.755,1,1100000,S,5,1066710.052
6.833,1,1070000,S,5,1066710.052
6.853,1,1020000,B,5,1066710.052
6.926,1,1110000,S,5,1066710.052
6.981,1,1050000,B,5,1066710.052
7.022,1,1100000,B,5,1066710.052
7.041,1,990000,S,5,1066710.052
7.168,1,1040000,B,5,1066710.052
7.407,1,1040000,B,5,1066710.052
7.455,1,1030000,B,5,1066710.052
7.559,1,1110000,S,5,1066710.052
7.612,1,990000,B,5,1066710.052
7.912,1,1100000,S,5,1066710.052
7.912,1,1100000,S,5,1066710.052
7.971,1,1120000,S,5,1066710.052
7.998,1,1090000,B,5,1066710.052
8.084,1,1110000,S,5,1066710.052
8.268,1,1050000,S,5,1066710.052
8.512,1,1040000,S,5,1066710.052
8.656,1,1090000,S,5,1066710.052
9.037,1,1080000,B,5,1066710.052
9.047,1,1110000,B,5,1066710.052
9.218,1,1030000,B,5,1066710.052
9.3,1,1080000,S,5,1066710.052
9.325,1,970000,B,5,1066710.052
9.335,1,1090000,B,5,1066710.052
9.453,1,1090000,S,5,1066710.052
9.551,1,1110000,S,5,1066710.052
9.727,1,1070000,S,5,1070503.716
9.741,1,1050000,B,5,1070503.716
9.771,1,1100000,S,5,1070503.716
9.798,1,1120000,S,5,1070503.716
9.971,1,1070000,B,5,1070503.716
9.994,1,1020000,B,5,1070503.716
10.048,1,1060000,S,5,1070503.716
10.197,1,1080000,S,5,1070503.716
10.313,1,1060000,B,5,1070503.716
10.479,1,1030000,B,5,1070503.716
10.511,1,1010000,B,5,1070503.716
10.552,1,1060000,B,5,1070503.716
10.603,1,1080000,B,5,1070503.716
10.666,1,1120000,S,5,1070503.716
10.736,1,1080000,S,5,1070503.716
10.968,1,1080000,B,5,1070503.716
11.09,1,1090000,B,5,1070503.716
11.099,1,1060000,B,5,1070503.716
11.222,1,1050000,B,5,1070503.716
11.224,1,1080000,B,5,1070503.716
11.285,1,1080000,S,5,1070503.716
11.37,1,1150000,S,5,1070503.716
11.52,1,1110000,S,5,1070503.716
11.596,1,1060000,S,5,1070503.716
11.652,1,1080000,B,5,1070503.716
11.675,1,1070000,B,5,1070503.716
11.738,1,1050000,S,5,1070503.716
11.977,1,1050000,S,5,1070503.716
11.987,1,1080000,S,5,1070503.716
12.026,1,1050000,B,5,1070503.716
12.053,1,1050000,S,5,1070503.716
12.235,1,1070000,S,5,1070503.716
12.395,1,1030000,B,5,1070503.716
12.397,1,1050000,B,5,1070503.716
12.701,1,1010000,B,5,1070503.716
12.787,1,1080000,B,5,1070503.716
12.827,1,1100000,S,5,1070503.716
13.075,1,1060000,B,5,1070503.716
13.16,1,1060000,S,5,1070503.716
13.217,1,1110000,B,5,1070503.716
13.24,1,1060000,B,5,1070503.716
13.254,1,1140000,S,5,1070503.716
13.277,1,1120000,S,5,1070503.716
13.289,1,1080000,S,5,1070503.716
13.383,1,1070000,S,5,1070503.716
13.539,1,1120000,S,5,1070503.716
13.576,1,1010000,B,5,1070503.716
13.624,1,1080000,S,5,1070503.716
13.99,1,1010000,B,5,1070503.716
14.07,1,1050000,S,5,1070503.716
14.286,1,1080000,S,5,1070503.716
14.346,1,1030000,B,5,1070503.716
14.346,1,1040000,S,5,1070503.716
14.413,1,1060000,B,5,1070503.716
14.482,1,1100000,B,5,1070503.716
14.574,1,980000,B,5,1070503.716
14.595,1,1040000,B,5,1070503.716
14.7,1,1120000,S,5,1070503.716
14.735,1,1150000,S,5,1070503.716
14.798,1,1070000,B,5,1070503.716
14.815,1,1020000,B,5,1070503.716
14.849,1,1080000,B,5,1070503.716
14.864,1,1060000,B,5,1070503.716
14.918,1,1060000,B,5,1070503.716
15.123,1,1080000,S,5,1070503.716
15.23,1,1080000,B,5,1070503.716
15.283,1,1050000,S,5,1070503.716
15.465,1,1070000,S,5,1070503.716
15.51,1,1020000,B,5,1070503.716
15.584,1,1120000,S,5,1070503.716
15.742,1,1110000,S,5,1070503.716
15.833,1,1040000,B,5,1070503.716
16.04,1,1110000,S,5,1070503.716
16.141,1,1020000,B,5,1070503.716
16.288,1,1110000,S,5,1070503.716
16.383,1,1080000,S,5,1070503.716
16.543,1,1030000,B,5,1070503.716
16.602,1,1120000,S,5,1070503.716
16.625,1,1130000,S,5,1070503.716
16.696,1,1040000,B,5,1070503.716
16.741,1,1090000,S,5,1070503.716
16.879,1,1140000,S,5,1070503.716
17.005,1,1050000,B,5,1070503.716
17.147,1,1070000,S,5,1070503.716
17.294,1,1040000,S,5,1070503.716
17.301,1,960000,B,5,1070503.716
17.396,1,1090000,B,5,1070503.716
17.531,1,1060000,S,5,1070503.716
17.546,1,1140000,S,5,1070503.716
17.663,1,1090000,B,5,1070503.716
17.7,1,1090000,S,5,1070503.716
17.705,1,1030000,B,5,1070503.716
