arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.067,1,1070000,S,5,1075228.433
0.195,1,1150000,S,5,1075228.433
0.368,1,1030000,S,5,1075228.433
0.568,1,1120000,S,5,1075228.433
0.591,1,1080000,S,5,1075228.433
1.017,1,1080000,S,5,1075228.433
1.054,1,1090000,B,5,1075228.433
1.066,1,1110000,S,5,1075228.433
1.132,1,1030000,B,5,1075228.433
1.322,1,1010000,B,5,1075228.433
1.34,1,1040000,B,5,1075228.433
1.39,1,1040000,B,5,1075228.433
1.72,1,1050000,B,5,1075228.433
1.97,1,1080000,S,5,1075228.433
2.163,1,1090000,S,5,1075228.433
2.524,1,1040000,B,5,1075228.433
2.672,1,1060000,B,5,1075228.433
2.688,1,1110000,S,5,1075228.433
2.731,1,1060000,B,5,1075228.433
2.818,1,1130000,S,5,1075228.433
2.895,1,1020000,B,5,1075228.433
3.108,1,1060000,B,5,1075228.433
3.14,1,1060000,B,5,1075228.433
3.218,1,1080000,S,5,1075228.433
3.223,1,1080000,S,5,1075228.433
3.247,1,1010000,B,5,1075228.433
3.316,1,1040000,B,5,1075228.433
3.359,1,1120000,S,5,1075228.433
3.399,1,1090000,S,5,1075228.433
3.456,1,1040000,B,5,1075228.433
3.675,1,1060000,S,5,1075228.433
3.732,1,1070000,S,5,1075228.433
3.823,1,1070000,S,5,1075228.433
3.867,1,1140000,S,5,1075228.433
3.925,1,1040000,B,5,1075228.433
3.96,1,1110000,B,5,1075228.433
4.079,1,1080000,S,5,1075228.433
4.119,1,1110000,S,5,1075228.433
4.227,1,1140000,S,5,1075228.433
4.371,1,1120000,S,5,1075228.433
4.385,1,1140000,S,5,1075228.433
4.476,1,1100000,S,5,1075228.433
4.532,1,1060000,S,5,1075228.433
4.552,1,1040000,B,5,1075228.433
4.563,1,1070000,S,5,1075228.433
4.811,1,1110000,S,5,1075228.433
4.882,1,1140000,B,5,1075228.433
4.915,1,1080000,S,5,1075228.433
5.106,1,1000000,B,5,1075228.433
5.139,1,1070000,B,5,1075228.433
5.219,1,1130000,S,5,1075228.433
5.222,1,1060000,B,5,1075228.433
5.436,1,1060000,B,5,1075228.433
5.443,1,1040000,S,5,1075228.433
5.644,1,1040000,S,5,1075228.433
6.031,1,1050000,B,5,1075228.433
6.1,1,1070000,S,5,1075228.433
6.109,1,1060000,B,5,1075228.433
6.18,1,1070000,B,5,1075228.433
6.189,1,1090000,B,5,1075228.433
6.19,1,1020000,B,5,1075228.433
6.417,1,1040000,B,5,1075228.433
6.493,1,1070000,S,5,1075228.433
6.705,1,1050000,B,5,1075228.433
6.751,1,980000,B,5,988932.428
6.757,1,1020000,S,5,988932.428
6.807,1,920000,B,5,988932.428
6.959,1,1030000,S,5,988932.428
7.275,1,960000,B,5,988932.428
7.286,1,940000,B,5,988932.428
7.296,1,1040000,S,5,988932.428
7.399,1,1010000,S,5,988932.428
7.414,1,1000000,B,5,988932.428
7.513,1,1010000,B,5,988932.428
7.815,1,1000000,B,5,988932.428
7.899,1,1000000,S,5,988932.428
8.114,1,910000,B,5,988932.428
8.366,1,1020000,S,5,988932.428
8.544,1,970000,B,5,988932.428
8.725,1,1030000,S,5,988932.428
8.743,1,980000,S,5,988932.428
9.041,1,990000,B,5,988932.428
9.052,1,960000,B,5,988932.428
9.16,1,1010000,S,5,988932.428
9.443,1,1000000,S,5,988932.428
9.456,1,1020000,S,5,988932.428
9.59,1,960000,B,5,988932.428
9.603,1,1020000,B,5,988932.428
9.781,1,1030000,S,5,988932.428
9.87,1,1000000,S,5,988932.428
10.034,1,930000,B,5,988932.428
10.12,1,950000,B,5,988932.428
10.286,1,990000,B,5,988932.428
10.457,1,960000,B,5,988932.428
10.594,1,970000,B,5,988932.428
10.789,1,1000000,S,5,988932.428
11.165,1,990000,B,5,988932.428
11.347,1,960000,B,5,988932.428
11.431,1,970000,B,5,988932.428
11.704,1,950000,B,5,988932.428
11.816,1,1030000,S,5,988932.428
11.824,1,940000,S,5,988932.428
11.865,1,960000,B,5,988932.428
12.001,1,940000,B,5,988932.428
12.021,1,1030000,S,5,988932.428
12.04,1,1010000,S,5,988932.428
12.064,1,1020000,S,5,988932.428
12.286,1,930000,B,5,988932.428
12.931,1,980000,B,5,988932.428
12.947,1,980000,B,5,988932.428
13.047,1,1060000,S,5,988932.428
13.167,1,1060000,S,5,988932.428
13.189,1,920000,B,5,988932.428
13.302,1,960000,B,5,988932.428
13.343,1,950000,B,5,988932.428
13.52,1,950000,B,5,988932.428
13.538,1,950000,S,5,988932.428
13.654,1,1060000,S,5,988932.428
14.245,1,1010000,S,5,988932.428
14.298,1,1010000,B,5,988932.428
14.321,1,970000,B,5,988932.428
14.324,1,960000,S,5,988932.428
14.427,1,960000,B,5,988932.428
14.705,1,950000,B,5,989314.101
14.72,1,1010000,B,5,989314.101
14.737,1,1030000,B,5,989314.101
14.747,1,970000,B,5,989314.101
15.197,1,990000,B,5,989314.101
15.527,1,1030000,B,5,989314.101
15.597,1,1030000,S,5,989314.101
15.713,1,960000,B,5,989314.101
15.886,1,1000000,B,5,989314.101
16.076,1,900000,B,5,989314.101
16.146,1,940000,B,5,989314.101
16.189,1,1020000,S,5,989314.101
16.306,1,1060000,S,5,989314.101
16.338,1,1020000,S,5,989314.101
