arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.372,1,670000,B,5,646092.743
0.659,1,600000,S,5,646092.743
0.708,1,650000,S,5,646092.743
1.047,1,680000,S,5,646092.743
1.89,1,890000,B,5,906230.256
3.323,1,1040000,S,5,973126.814
4.108,1,1000000,S,5,973126.814
4.184,1,980000,S,5,973126.814
4.241,1,950000,S,5,973126.814
4.331,1,960000,S,5,973126.814
4.521,1,1000000,S,5,973126.814
4.805,1,960000,B,5,973126.814
5.03,1,960000,S,5,973126.814
5.311,1,1030000,S,5,973126.814
5.796,1,980000,S,5,973126.814
5.93,1,1010000,S,5,973126.814
6.001,1,950000,S,5,973126.814
7.034,1,940000,B,5,973126.814
7.639,1,940000,B,5,973126.814
7.723,1,950000,B,5,973126.814
7.848,1,950000,S,5,973126.814
8.501,1,960000,S,5,973126.814
8.561,1,950000,B,5,973126.814
10.047,1,1030000,S,5,973126.814
10.677,1,920000,B,5,973126.814
11.061,1,990000,S,5,973126.814
11.381,1,990000,S,5,973126.814
12.216,1,930000,B,5,973126.814
12.934,1,950000,S,5,973126.814
13.79,1,1040000,S,5,973126.814
14.128,1,950000,B,5,973126.814
14.324,1,970000,B,5,973126.814
15.185,1,950000,B,5,973126.814
16.277,1,970000,B,5,973126.814
16.359,1,920000,B,5,973126.814
16.601,1,970000,S,5,973126.814
16.89,1,900000,B,5,973126.814
17.288,1,910000,B,5,973126.814
17.311,1,1010000,S,5,973126.814
17.617,1,950000,B,5,973126.814
17.788,1,950000,S,5,973126.814
18.028,1,960000,S,5,973126.814
18.497,1,920000,B,5,973126.814
18.613,1,1040000,S,5,973126.814
18.9,1,970000,S,5,973126.814
19.632,1,970000,B,5,973126.814
20.734,1,930000,B,5,973126.814
21.143,1,910000,B,5,973126.814
21.969,1,1050000,S,5,973126.814
22.241,1,1030000,S,5,973126.814
22.789,1,930000,B,5,973126.814
23.43,1,1000000,S,5,973126.814
23.588,1,1020000,S,5,973126.814
24.024,1,990000,S,5,973126.814
24.674,1,1000000,S,5,973126.814
24.757,1,1060000,S,5,973126.814
24.965,1,980000,B,5,973126.814
25.247,1,900000,B,5,973126.814
25.497,1,1010000,S,5,973126.814
26.431,1,1150000,S,5,1053868.686
28.347,1,1040000,S,5,1053868.686
28.774,1,1020000,S,5,1053868.686
29.154,1,1060000,S,5,1053868.686
29.493,1,1070000,B,5,1053868.686
30.827,1,1060000,S,5,1053868.686
32.962,1,1120000,S,5,1053868.686
33.124,1,1020000,B,5,1053868.686
33.572,1,1020000,B,5,1053868.686
34.68,1,1110000,S,5,1053868.686
34.957,1,1100000,S,5,1053868.686
35.857,1,1070000,S,5,1053868.686
36.485,1,1120000,S,5,1053868.686
36.886,1,1040000,B,5,1053868.686
37.491,1,1000000,B,5,1053868.686
37.784,1,1040000,B,5,1053868.686
37.976,1,1050000,S,5,1053868.686
38.302,1,1060000,S,5,1053868.686
40.035,1,1080000,S,5,1053868.686
40.187,1,1100000,S,5,1053868.686
41.155,1,1060000,B,5,1053868.686
41.856,1,1080000,S,5,1053868.686
42.272,1,1090000,B,5,1053868.686
42.757,1,1110000,S,5,1053868.686
42.814,1,1050000,S,5,1053868.686
43.505,1,1060000,B,5,1053868.686
44.525,1,1050000,B,5,1053868.686
45.173,1,1060000,S,5,1053868.686
47.396,1,1020000,S,5,1053868.686
48.137,1,1060000,B,5,1053868.686
48.316,1,1050000,B,5,1053868.686
48.428,1,960000,B,5,1053868.686
48.555,1,1110000,S,5,1053868.686
48.729,1,1090000,B,5,1053868.686
49.166,1,1090000,S,5,1053868.686
49.764,1,1080000,S,5,1053868.686
49.903,1,1010000,B,5,1053868.686
50.499,1,1140000,S,5,1157316.635
50.585,1,1160000,S,5,1157316.635
50.702,1,1170000,S,5,1157316.635
51.299,1,1170000,B,5,1157316.635
51.425,1,1180000,S,5,1157316.635
51.753,1,1200000,S,5,1157316.635
52.685,1,1090000,B,5,1157316.635
52.701,1,1160000,B,5,1157316.635
53.009,1,1210000,S,5,1157316.635
53.085,1,1190000,S,5,1157316.635
53.709,1,1060000,B,5,1113370.142
54.761,1,1100000,S,5,1113370.142
56.228,1,1120000,B,5,1113370.142
56.229,1,1050000,B,5,1113370.142
57.356,1,1100000,B,5,1113370.142
57.782,1,1120000,B,5,1113370.142
59.054,1,1100000,S,5,1113370.142
60.052,1,1130000,S,5,1113370.142
61.381,1,1130000,B,5,1113370.142
61.473,1,1150000,S,5,1113370.142
62.472,1,1180000,S,5,1113370.142
62.636,1,1110000,S,5,1113370.142
63.303,1,1080000,B,5,1113370.142
64.927,1,1100000,S,5,1113370.142
66.768,1,1130000,S,5,1113370.142
67.227,1,1140000,B,5,1113370.142
67.259,1,1060000,S,5,1113370.142
67.33,1,1160000,S,5,1113370.142
67.5,1,1100000,S,5,1113370.142
67.634,1,1140000,S,5,1113370.142
68.893,1,1110000,B,5,1113370.142
68.993,1,1160000,S,5,1113370.142
69.751,1,1100000,B,5,1113370.142
69.833,1,1060000,B,5,1113370.142
70.891,1,1140000,S,5,1113370.142
71.056,1,1050000,B,5,1113370.142
71.088,1,1120000,S,5,1113370.142
71.823,1,1140000,S,5,1113370.142
72.412,1,1060000,S,5,1034833.113
72.482,1,1060000,B,5,1034833.113
73.009,1,1010000,B,5,1034833.113
73.357,1,1030000,S,5,1034833.113
73.809,1,1080000,S,5,1034833.113
73.849,1,1050000,S,5,1034833.113
75.791,1,1110000,S,5,1108006.933
75.811,1,1050000,B,5,1108006.933
76.88,1,1130000,B,5,1177852.564
76.943,1,1160000,B,5,1177852.564
77.974,1,1170000,B,5,1177852.564
79.146,1,1130000,B,5,1177852.564
79.846,1,1220000,S,5,1177852.564
79.871,1,1170000,S,5,1177852.564
80.088,1,1150000,B,5,1177852.564
80.133,1,1190000,B,5,1177852.564
80.356,1,1120000,B,5,1177852.564
81.813,1,1150000,S,5,1177852.564
81.822,1,1160000,B,5,1177852.564
82.189,1,1160000,B,5,1179621.455
82.253,1,1180000,S,5,1179621.455
82.375,1,1160000,B,5,1179621.455
82.481,1,1150000,B,5,1179621.455
83.313,1,1190000,S,5,1179621.455
83.372,1,1180000,S,5,1179621.455
83.938,1,1160000,B,5,1179621.455
84.583,1,1100000,S,5,1179621.455
85.953,1,1150000,B,5,1179621.455
87.19,1,1160000,B,5,1179621.455
87.752,1,1190000,S,5,1179621.455
88.218,1,1160000,S,5,1179621.455
88.429,1,1170000,B,5,1179621.455
89.555,1,1200000,S,5,1179621.455
89.669,1,1170000,S,5,1179621.455
89.883,1,1150000,B,5,1179289.968
90.274,1,1210000,S,5,1179289.968
90.428,1,1160000,B,5,1179289.968
90.549,1,1200000,S,5,1179289.968
90.583,1,1190000,S,5,1179289.968
91.319,1,1260000,S,5,1179289.968
92.102,1,1200000,S,5,1179289.968
92.138,1,1160000,B,5,1179289.968
92.228,1,1210000,S,5,1179289.968
93.57,1,1180000,B,5,1179289.968
94.786,1,1170000,S,5,1179289.968
94.864,1,1120000,S,5,1179289.968
95.155,1,1160000,B,5,1179289.968
95.848,1,1190000,B,5,1179289.968
95.907,1,1220000,S,5,1179289.968
96.16,1,1110000,B,5,1179289.968
96.502,1,1190000,S,5,1179289.968
96.763,1,1150000,B,5,1179289.968
97.182,1,1130000,B,5,1179289.968
97.267,1,1210000,S,5,1179289.968
97.6,1,1160000,B,5,1179289.968
97.855,1,1190000,S,5,1179289.968
98.04,1,1120000,B,5,1179289.968
98.216,1,1220000,S,5,1179289.968
98.538,1,1160000,S,5,1179289.968
99.332,1,1180000,B,5,1179289.968
