arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.198,1,1730000,S,5,1681443.367
0.447,1,1700000,B,5,1681443.367
0.658,1,1700000,S,5,1681443.367
1.292,1,1690000,B,5,1681443.367
1.58,1,1710000,B,5,1681443.367
2.879,1,1680000,S,5,1681443.367
3.22,1,1670000,S,5,1681443.367
3.293,1,1670000,B,5,1681443.367
3.356,1,1720000,S,5,1681443.367
3.766,1,1660000,B,5,1681443.367
4.072,1,1690000,S,5,1681443.367
5.268,1,1670000,B,5,1681443.367
6.974,1,1680000,B,5,1681443.367
8.214,1,1680000,S,5,1681443.367
9.369,1,1690000,B,5,1681443.367
10.212,1,1740000,S,5,1681443.367
10.215,1,1720000,S,5,1681443.367
10.845,1,1680000,B,5,1681443.367
12.36,1,1690000,S,5,1681443.367
12.661,1,1700000,S,5,1681443.367
13.049,1,1660000,S,5,1681443.367
13.224,1,1650000,B,5,1681443.367
13.297,1,1710000,S,5,1681443.367
13.387,1,1760000,S,5,1681443.367
14.782,1,910000,B,5,958002.379
15.964,1,1000000,B,5,958002.379
16.672,1,1160000,S,5,1163391.86
17.548,1,1090000,B,5,1163391.86
18.429,1,1170000,S,5,1163391.86
18.814,1,1080000,B,5,1163391.86
18.985,1,1260000,S,5,1163391.86
19.098,1,1170000,S,5,1163391.86
19.306,1,1200000,S,5,1163391.86
20.51,1,1210000,S,5,1163391.86
21.499,1,1080000,B,5,1163391.86
21.95,1,1200000,S,5,1163391.86
22.358,1,1180000,B,5,1163391.86
24.209,1,1170000,S,5,1163391.86
24.586,1,1150000,B,5,1163391.86
25.36,1,1120000,S,5,1163391.86
26.782,1,1140000,B,5,1163391.86
26.933,1,1190000,S,5,1163391.86
27.375,1,1180000,B,5,1163391.86
27.508,1,1160000,S,5,1163391.86
27.793,1,1200000,S,5,1163391.86
27.983,1,1180000,S,5,1163391.86
28.09,1,1170000,B,5,1163391.86
28.242,1,1230000,S,5,1163391.86
28.428,1,1140000,B,5,1163391.86
28.612,1,1160000,S,5,1163391.86
28.922,1,1150000,B,5,1163391.86
29.312,1,1100000,B,5,1163391.86
29.5,1,1080000,B,5,1163391.86
30.262,1,1130000,B,5,1163391.86
30.636,1,1150000,S,5,1163391.86
31.172,1,1140000,B,5,1163391.86
31.432,1,1180000,S,5,1163391.86
31.874,1,1180000,S,5,1163391.86
32.298,1,1200000,S,5,1163391.86
32.47,1,1240000,S,5,1163391.86
33.76,1,1180000,S,5,1163391.86
34.335,1,1130000,B,5,1163391.86
34.488,1,1220000,S,5,1163391.86
35.099,1,1190000,S,5,1163391.86
36.207,1,1150000,B,5,1163391.86
38.069,1,1160000,B,5,1163391.86
38.532,1,1100000,B,5,1163391.86
38.539,1,1140000,S,5,1163391.86
38.569,1,1140000,B,5,1163391.86
38.591,1,1160000,B,5,1163391.86
39.522,1,1140000,B,5,1163391.86
39.707,1,1170000,S,5,1163391.86
40.222,1,1250000,S,5,1163391.86
41.244,1,1240000,S,5,1163391.86
42.452,1,1130000,B,5,1163391.86
43.174,1,1130000,B,5,1163391.86
43.251,1,1150000,S,5,1163391.86
43.285,1,1140000,S,5,1163391.86
43.421,1,1100000,B,5,1163391.86
43.943,1,1180000,B,5,1196861.577
44.478,1,1150000,B,5,1196861.577
44.736,1,1210000,S,5,1196861.577
44.87,1,1140000,S,5,1196861.577
45.552,1,1250000,S,5,1196861.577
46.009,1,1170000,B,5,1196861.577
46.037,1,1210000,S,5,1196861.577
46.157,1,1150000,B,5,1196861.577
46.341,1,1200000,B,5,1196861.577
46.974,1,1240000,B,5,1196861.577
48.03,1,1120000,S,5,1099917.277
48.215,1,1110000,B,5,1099917.277
48.737,1,1080000,S,5,1099917.277
49.344,1,1150000,S,5,1099917.277
50.208,1,1140000,S,5,1099917.277
50.533,1,1120000,B,5,1099917.277
50.797,1,1090000,B,5,1099917.277
51.427,1,1080000,B,5,1099917.277
51.915,1,1120000,B,5,1099917.277
53.054,1,1050000,S,5,1099917.277
53.116,1,1130000,S,5,1099917.277
53.578,1,1060000,B,5,1044610.017
53.68,1,1060000,B,5,1044610.017
54.023,1,1060000,S,5,1044610.017
54.354,1,1000000,B,5,1044610.017
54.663,1,1050000,S,5,1044610.017
54.81,1,1020000,B,5,1044610.017
54.922,1,1040000,B,5,1044610.017
55.614,1,1020000,S,5,1044610.017
56.313,1,1070000,S,5,1044610.017
56.493,1,1070000,S,5,1044610.017
56.954,1,1020000,B,5,1044610.017
57.51,1,1030000,B,5,1044610.017
58.025,1,1060000,S,5,1044610.017
58.568,1,1040000,B,5,1044610.017
59.649,1,1090000,S,5,1044610.017
59.799,1,1020000,B,5,1044610.017
60.115,1,1020000,B,5,1044610.017
61.081,1,1020000,B,5,1044610.017
61.459,1,1090000,S,5,1044610.017
61.88,1,1030000,B,5,1044610.017
61.951,1,1010000,B,5,1044610.017
62.43,1,1050000,B,5,1044610.017
63.111,1,1060000,S,5,1044610.017
64.125,1,1040000,S,5,1044610.017
64.152,1,1120000,S,5,1044610.017
64.453,1,1040000,S,5,1044610.017
64.769,1,1060000,S,5,1044610.017
64.803,1,1010000,B,5,1044610.017
65.136,1,1110000,S,5,1044610.017
66.934,1,990000,B,5,1044610.017
67.078,1,1110000,S,5,1044610.017
67.121,1,990000,B,5,1044610.017
67.621,1,1100000,S,5,1044610.017
67.994,1,1010000,B,5,1044610.017
68.304,1,1050000,B,5,1044610.017
68.86,1,1030000,S,5,1044610.017
69.726,1,1000000,B,5,1044610.017
70.377,1,1030000,B,5,1044610.017
70.593,1,1010000,S,5,1044610.017
71.904,1,1010000,B,5,1044610.017
71.986,1,1010000,B,5,1044610.017
73.124,1,1120000,S,5,1044610.017
73.999,1,1110000,B,5,1118528.752
74.053,1,1160000,S,5,1118528.752
74.107,1,1100000,B,5,1118528.752
74.275,1,1210000,S,5,1118528.752
76.074,1,1120000,B,5,1118528.752
76.144,1,1170000,S,5,1118528.752
76.145,1,1110000,S,5,1118528.752
76.289,1,1160000,B,5,1118528.752
77.287,1,1180000,S,5,1118528.752
77.453,1,1030000,B,5,1118528.752
78.028,1,1150000,S,5,1118528.752
78.102,1,1130000,B,5,1118528.752
78.176,1,1120000,B,5,1118528.752
78.268,1,1150000,S,5,1118528.752
78.343,1,1170000,S,5,1118528.752
79.725,1,1120000,B,5,1118528.752
80.324,1,1130000,B,5,1118528.752
80.789,1,1110000,B,5,1118528.752
83.101,1,1150000,S,5,1118528.752
83.603,1,1030000,B,5,1118528.752
83.722,1,1090000,B,5,1118528.752
83.881,1,1130000,B,5,1118528.752
84.521,1,1050000,B,5,1118528.752
85.004,1,1180000,B,5,1157401.669
88.253,1,1230000,S,5,1157401.669
88.353,1,1170000,B,5,1157401.669
88.557,1,1150000,B,5,1157401.669
89.505,1,1160000,B,5,1157401.669
89.695,1,1140000,S,5,1157401.669
91.053,1,1210000,S,5,1157401.669
91.079,1,1130000,B,5,1157401.669
91.204,1,1170000,B,5,1157401.669
91.748,1,1170000,B,5,1157401.669
92.499,1,1210000,S,5,1176998.889
92.74,1,1150000,B,5,1176998.889
94.052,1,1190000,S,5,1176998.889
94.067,1,1150000,B,5,1176998.889
94.268,1,1180000,B,5,1176998.889
94.493,1,1150000,S,5,1176998.889
95.089,1,1170000,B,5,1176998.889
95.382,1,1130000,B,5,1176998.889
96.156,1,1150000,B,5,1176998.889
96.277,1,1130000,S,5,1176998.889
98.03,1,1140000,S,5,1176998.889
98.159,1,1140000,B,5,1176998.889
99.057,1,1150000,B,5,1176998.889
99.258,1,1220000,S,5,1176998.889
99.85,1,1180000,B,5,1176998.889
100.25,1,1240000,S,5,1176998.889
100.336,1,1180000,B,5,1176998.889
100.701,1,1230000,S,5,1176998.889
102.183,1,1080000,B,5,1128932.685
102.237,1,1110000,S,5,1128932.685
102.332,1,1170000,B,5,1128932.685
102.454,1,1120000,S,5,1128932.685
102.555,1,1150000,S,5,1128932.685
102.958,1,1040000,B,5,1128932.685
103.766,1,1150000,S,5,1128932.685
103.96,1,1140000,B,5,1128932.685
104.481,1,1100000,B,5,1128932.685
104.673,1,1070000,B,5,1128932.685
106.814,1,1050000,B,5,1128932.685
106.848,1,1200000,S,5,1128932.685
107.322,1,1170000,B,5,1128932.685
107.367,1,1130000,B,5,1128932.685
108.717,1,1130000,B,5,1128932.685
109.064,1,1110000,B,5,1128932.685
109.55,1,1060000,B,5,1128932.685
109.681,1,1150000,B,5,1128932.685
110.41,1,1210000,S,5,1128932.685
110.419,1,1170000,S,5,1128932.685
111.586,1,1160000,S,5,1128932.685
111.862,1,1140000,B,5,1128932.685
113.225,1,1260000,B,5,1278199.458
113.645,1,1270000,S,5,1278199.458
113.776,1,1270000,S,5,1278199.458
114.208,1,1300000,S,5,1278199.458
114.718,1,1270000,B,5,1278199.458
115.449,1,1250000,B,5,1278199.458
116.278,1,1320000,S,5,1278199.458
116.312,1,1280000,S,5,1278199.458
116.32,1,1270000,B,5,1278199.458
116.608,1,1310000,B,5,1278199.458
116.712,1,1250000,B,5,1278199.458
116.735,1,1280000,B,5,1278199.458
117.179,1,1330000,S,5,1278199.458
117.596,1,1300000,S,5,1278199.458
118.15,1,1320000,S,5,1278199.458
120.174,1,1310000,B,5,1278199.458
122.032,1,1390000,S,5,1348557.718
122.459,1,1400000,S,5,1348557.718
122.485,1,1360000,B,5,1348557.718
122.689,1,1300000,B,5,1348557.718
123.571,1,1320000,B,5,1348557.718
127.038,1,1410000,S,5,1348557.718
127.053,1,1340000,B,5,1348557.718
127.169,1,1330000,B,5,1348557.718
127.494,1,1320000,B,5,1348557.718
127.671,1,1400000,S,5,1348557.718
127.802,1,1330000,S,5,1348557.718
128.46,1,1330000,B,5,1348557.718
129.685,1,1300000,B,5,1348557.718
130.216,1,1370000,S,5,1348557.718
131.325,1,1310000,B,5,1348557.718
131.872,1,1300000,S,5,1348557.718
132.035,1,1340000,B,5,1348557.718
132.127,1,1390000,S,5,1348557.718
132.67,1,1320000,B,5,1348557.718
132.983,1,1330000,B,5,1348557.718
133.045,1,1320000,S,5,1348557.718
133.317,1,1310000,B,5,1348557.718
133.771,1,1330000,B,5,1348557.718
133.896,1,1270000,B,5,1348557.718
134.73,1,1370000,S,5,1348557.718
135.964,1,1360000,S,5,1384515.705
135.997,1,1340000,B,5,1384515.705
136.684,1,1360000,B,5,1355910.843
136.938,1,1290000,B,5,1355910.843
137.062,1,1370000,B,5,1355910.843
138.022,1,1330000,S,5,1355910.843
138.071,1,1330000,B,5,1355910.843
138.92,1,1430000,S,5,1355910.843
139.23,1,1380000,B,5,1355910.843
139.294,1,1400000,S,5,1355910.843
139.601,1,1360000,S,5,1355910.843
139.874,1,1360000,S,5,1355910.843
140.859,1,1340000,B,5,1355910.843
141.379,1,1340000,S,5,1355910.843
141.596,1,1450000,S,5,1355910.843
141.957,1,1370000,B,5,1355910.843
142.022,1,1380000,B,5,1355910.843
142.395,1,1390000,S,5,1355910.843
142.68,1,1380000,S,5,1355910.843
143.121,1,1350000,S,5,1355910.843
143.605,1,1350000,S,5,1355910.843
143.811,1,1370000,S,5,1355910.843
143.84,1,1260000,B,5,1355910.843
143.907,1,1320000,S,5,1355910.843
144.64,1,1370000,S,5,1355910.843
145.246,1,1310000,B,5,1355910.843
145.743,1,1300000,B,5,1355910.843
