arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.102,1,1260000,S,5,1198332.056
0.178,1,1210000,S,5,1198332.056
0.303,1,1180000,B,5,1198332.056
0.321,1,1170000,B,5,1198332.056
0.385,1,1200000,S,5,1198332.056
0.746,1,1110000,B,5,1198332.056
0.94,1,1210000,S,5,1198332.056
0.943,1,1170000,B,5,1198332.056
1.059,1,1180000,S,5,1198332.056
1.109,1,1150000,S,5,1198332.056
1.193,1,1160000,B,5,1198332.056
1.211,1,1130000,B,5,1198332.056
1.359,1,1170000,B,5,1198332.056
1.379,1,1250000,S,5,1198332.056
1.448,1,1170000,B,5,1198332.056
1.569,1,1210000,S,5,1198332.056
1.589,1,1190000,B,5,1198332.056
1.614,1,1180000,B,5,1198332.056
1.647,1,1240000,S,5,1198332.056
1.845,1,1150000,B,5,1198332.056
1.876,1,1230000,S,5,1198332.056
1.95,1,1200000,B,5,1198332.056
2.035,1,1200000,B,5,1198332.056
2.039,1,1240000,S,5,1198332.056
2.2,1,1180000,S,5,1198332.056
2.214,1,1170000,S,5,1198332.056
2.269,1,1220000,S,5,1198332.056
2.343,1,1210000,S,5,1198332.056
2.364,1,1230000,S,5,1198332.056
2.382,1,1170000,B,5,1198332.056
2.429,1,1200000,S,5,1198332.056
2.654,1,1240000,S,5,1198332.056
2.668,1,1260000,S,5,1198332.056
2.809,1,1200000,S,5,1198332.056
3.004,1,1270000,S,5,1198332.056
3.224,1,1190000,B,5,1198332.056
3.233,1,1170000,B,5,1198332.056
3.738,1,1210000,B,5,1198332.056
4.053,1,1230000,S,5,1198332.056
4.075,1,1260000,S,5,1198332.056
4.08,1,1120000,B,5,1198332.056
4.153,1,1240000,S,5,1198332.056
4.233,1,1170000,S,5,1198332.056
4.331,1,1180000,B,5,1198332.056
4.393,1,1200000,B,5,1198332.056
4.535,1,1220000,S,5,1198332.056
4.631,1,1150000,B,5,1198332.056
4.729,1,1180000,B,5,1198332.056
4.835,1,1220000,S,5,1198332.056
4.868,1,1190000,B,5,1198332.056
4.92,1,1170000,S,5,1198332.056
4.923,1,1100000,B,5,1198332.056
4.926,1,1170000,B,5,1198332.056
5.008,1,1220000,S,5,1198332.056
5.041,1,1170000,B,5,1198332.056
5.591,1,1210000,B,5,1198332.056
5.634,1,1230000,S,5,1198332.056
5.678,1,1190000,S,5,1198332.056
5.795,1,1230000,S,5,1198332.056
5.886,1,1210000,S,5,1198332.056
5.971,1,1210000,B,5,1198332.056
6.075,1,1210000,B,5,1198332.056
6.146,1,1210000,B,5,1198332.056
6.196,1,1200000,S,5,1198332.056
6.34,1,1210000,S,5,1198332.056
6.577,1,1170000,S,5,1198332.056
6.645,1,1200000,B,5,1198332.056
6.67,1,1170000,B,5,1198332.056
6.674,1,1130000,B,5,1198332.056
6.805,1,1190000,S,5,1198332.056
6.913,1,1230000,B,5,1198332.056
7.025,1,1200000,S,5,1198332.056
7.119,1,1260000,S,5,1198332.056
7.272,1,1140000,B,5,1198332.056
7.319,1,1220000,S,5,1198332.056
7.48,1,1220000,S,5,1198332.056
7.661,1,1160000,B,5,1198332.056
7.662,1,1190000,S,5,1198332.056
7.795,1,1180000,B,5,1198332.056
7.933,1,1210000,B,5,1198332.056
8.028,1,1200000,B,5,1198332.056
8.195,1,1210000,S,5,1198332.056
8.206,1,1210000,B,5,1198332.056
8.295,1,1160000,S,5,1198332.056
8.766,1,1170000,B,5,1198332.056
8.81,1,1120000,B,5,1198332.056
8.811,1,1160000,B,5,1198332.056
8.884,1,1220000,S,5,1198332.056
9.031,1,1220000,B,5,1198332.056
9.041,1,1220000,B,5,1198332.056
9.247,1,1180000,B,5,1198332.056
9.311,1,1290000,S,5,1198332.056
9.313,1,1180000,B,5,1198332.056
9.359,1,1240000,S,5,1198332.056
9.361,1,1180000,S,5,1198332.056
9.415,1,1280000,S,5,1198332.056
9.455,1,1230000,S,5,1198332.056
9.481,1,1210000,B,5,1198332.056
9.636,1,1230000,S,5,1198332.056
9.863,1,1210000,S,5,1198332.056
9.864,1,1180000,B,5,1198332.056
9.966,1,1170000,S,5,1198332.056
10.125,1,1180000,B,5,1198332.056
10.381,1,1210000,B,5,1198332.056
10.386,1,1190000,S,5,1198332.056
10.773,1,1260000,S,5,1198332.056
10.834,1,1180000,B,5,1198332.056
10.843,1,1190000,S,5,1198332.056
10.979,1,1220000,S,5,1198332.056
11.059,1,1220000,S,5,1198332.056
11.072,1,1210000,S,5,1198332.056
11.155,1,1160000,B,5,1198332.056
11.35,1,1150000,B,5,1198332.056
11.466,1,1160000,B,5,1198332.056
11.477,1,1240000,B,5,1198332.056
11.508,1,1190000,B,5,1198332.056
11.659,1,1220000,S,5,1198332.056
12.053,1,1170000,B,5,1198332.056
12.23,1,1180000,B,5,1198332.056
12.241,1,1210000,S,5,1198332.056
12.357,1,1180000,B,5,1198332.056
12.491,1,1180000,B,5,1198332.056
12.629,1,1200000,B,5,1198332.056
12.668,1,1250000,S,5,1198332.056
12.757,1,1050000,B,5,1042474.263
13.029,1,970000,B,5,1042474.263
13.136,1,1040000,S,5,1042474.263
13.171,1,1070000,S,5,1042474.263
13.26,1,1020000,B,5,1042474.263
13.409,1,1000000,B,5,1042474.263
13.471,1,1010000,S,5,1042474.263
13.677,1,1090000,S,5,1042474.263
13.705,1,1090000,S,5,1042474.263
13.91,1,1030000,B,5,1042474.263
13.975,1,1040000,B,5,1042474.263
14.02,1,1020000,B,5,1042474.263
14.236,1,1000000,B,5,1041182.587
14.249,1,1050000,B,5,1041182.587
14.253,1,1000000,S,5,1041182.587
14.295,1,1020000,B,5,1041182.587
14.474,1,990000,B,5,1041182.587
14.64,1,1080000,S,5,1041182.587
14.764,1,1080000,S,5,1041182.587
15.019,1,1030000,B,5,1041182.587
15.053,1,1050000,S,5,1041182.587
15.423,1,1040000,S,5,1041182.587
15.91,1,1060000,B,5,1041182.587
16.02,1,1000000,B,5,1041182.587
16.237,1,1050000,S,5,1041182.587
16.402,1,1050000,B,5,1041182.587
16.474,1,1010000,B,5,1041182.587
16.558,1,1050000,B,5,1041182.587
16.587,1,1060000,S,5,1041182.587
16.688,1,1070000,S,5,1041182.587
16.802,1,1100000,S,5,1041182.587
16.898,1,1040000,S,5,1041182.587
16.984,1,1040000,B,5,1041182.587
17.103,1,1030000,B,5,1041182.587
17.146,1,1110000,S,5,1041182.587
17.237,1,1080000,B,5,1041182.587
17.238,1,1000000,S,5,1041182.587
17.315,1,1070000,B,5,1041182.587
17.584,1,1030000,B,5,1041182.587
17.614,1,1000000,S,5,1041182.587
17.674,1,1080000,S,5,1041182.587
17.731,1,1080000,S,5,1041182.587
18.376,1,1000000,B,5,1041182.587
18.416,1,980000,B,5,1041182.587
18.431,1,1020000,S,5,1041182.587
18.854,1,1070000,B,5,1041182.587
18.91,1,1090000,S,5,1041182.587
18.958,1,1090000,S,5,1041182.587
18.987,1,1100000,S,5,1041182.587
19.137,1,1040000,B,5,1041182.587
19.153,1,1050000,B,5,1041182.587
19.219,1,1070000,B,5,1041182.587
19.387,1,1010000,B,5,1041182.587
19.445,1,1100000,S,5,1041182.587
