arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
4.17,1,1070000,B,15,1144894.501
10.766,1,1240000,S,15,1144894.501
33.541,1,1100000,S,15,1045155.459
41.881,1,1020000,B,15,1045155.459
43.814,1,1090000,S,15,1045155.459
51.804,1,1040000,S,15,1045155.459
52.982,1,990000,S,15,1045155.459
57.886,1,1110000,S,15,1045155.459
59.505,1,1110000,S,15,1045155.459
62.252,1,1030000,B,15,1045155.459
64.536,1,1060000,S,15,1045155.459
73.588,1,920000,B,15,1045155.459
81.986,1,980000,B,15,1045155.459
82.123,1,1040000,S,15,1045155.459
99.022,1,1200000,S,15,1169424.908
