arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.775,1,540000,B,5,564614.936
0.874,1,610000,S,5,564614.936
1.887,1,520000,B,5,564614.936
2.476,1,600000,S,5,564614.936
2.948,1,620000,S,5,564614.936
3.709,1,600000,B,5,564614.936
3.969,1,560000,S,5,564614.936
4.145,1,530000,B,5,564614.936
4.621,1,990000,B,5,998493.032
5.638,1,950000,B,5,998493.032
5.797,1,980000,B,5,998493.032
6.203,1,1040000,S,5,998493.032
6.39,1,990000,B,5,998493.032
6.669,1,980000,B,5,998493.032
7.011,1,970000,B,5,998493.032
7.397,1,1020000,B,5,998493.032
7.456,1,1060000,S,5,998493.032
7.471,1,990000,B,5,998493.032
7.945,1,980000,B,5,998493.032
8.705,1,1030000,S,5,1006047.516
9.625,1,1010000,S,5,1006047.516
10.076,1,1000000,S,5,1006047.516
10.246,1,1020000,B,5,1006047.516
10.547,1,990000,B,5,1006047.516
10.916,1,980000,B,5,1006047.516
11.152,1,960000,B,5,1006047.516
11.449,1,1070000,S,5,1006047.516
11.479,1,1010000,B,5,1017656.286
11.774,1,1040000,S,5,1017656.286
11.81,1,1060000,S,5,1017656.286
11.829,1,1040000,S,5,1017656.286
12.103,1,1040000,S,5,1017656.286
12.157,1,1010000,B,5,1017656.286
12.389,1,1010000,B,5,1017656.286
12.389,1,1000000,B,5,1017656.286
12.553,1,1060000,S,5,1017656.286
12.618,1,1000000,B,5,1017656.286
12.914,1,1000000,S,5,1017656.286
13.712,1,970000,B,5,1017656.286
13.826,1,970000,B,5,1017656.286
13.886,1,990000,B,5,1017656.286
14.18,1,990000,B,5,1017656.286
14.489,1,990000,B,5,1017656.286
15.125,1,990000,B,5,1017656.286
15.6,1,1010000,B,5,1017656.286
15.707,1,1030000,S,5,1017656.286
17.185,1,1040000,B,5,1017656.286
18.067,1,980000,B,5,1017656.286
19.635,1,1030000,B,5,1017656.286
19.821,1,1010000,B,5,1017656.286
20.123,1,1030000,S,5,1017656.286
20.72,1,990000,B,5,1017656.286
21.297,1,1020000,B,5,1017656.286
21.529,1,1040000,S,5,1017656.286
21.701,1,1060000,B,5,1017656.286
23.196,1,1070000,B,5,1017656.286
23.214,1,950000,B,5,1017656.286
24.394,1,1010000,B,5,1017656.286
25.525,1,1000000,B,5,1017656.286
27.057,1,1030000,S,5,1017656.286
27.331,1,990000,S,5,1017656.286
28.101,1,1030000,B,5,1017656.286
28.12,1,950000,B,5,1017656.286
28.364,1,940000,B,5,1017656.286
28.858,1,1010000,S,5,1017656.286
29.372,1,1010000,S,5,1017656.286
29.681,1,1040000,S,5,1017656.286
29.744,1,1000000,B,5,1017656.286
29.909,1,1000000,B,5,1017656.286
31.487,1,1070000,S,5,1017656.286
31.602,1,1030000,B,5,1017656.286
32.244,1,1070000,B,5,1017656.286
32.696,1,1030000,S,5,1017656.286
32.893,1,990000,B,5,1017656.286
33.078,1,1080000,S,5,1017656.286
33.157,1,1050000,S,5,1017656.286
33.58,1,1050000,S,5,1017656.286
34.317,1,1020000,S,5,1017656.286
34.467,1,1020000,S,5,1017656.286
34.652,1,1030000,B,5,1017656.286
34.985,1,1000000,B,5,1017656.286
35.68,1,1020000,B,5,1017656.286
36.386,1,980000,B,5,1017656.286
38.047,1,970000,B,5,1017656.286
38.255,1,1020000,S,5,1017656.286
38.447,1,1060000,S,5,1017656.286
38.642,1,1010000,B,5,1017656.286
38.812,1,1020000,B,5,1017656.286
39.163,1,1040000,S,5,1017656.286
39.276,1,1020000,S,5,1017656.286
39.847,1,990000,B,5,1017656.286
39.977,1,970000,B,5,1017656.286
40.769,1,1020000,S,5,1017656.286
41.014,1,1000000,B,5,1017656.286
41.777,1,1070000,B,5,1017656.286
41.807,1,1000000,S,5,1017656.286
42.422,1,1010000,S,5,1017656.286
43.275,1,1000000,S,5,1017656.286
43.342,1,970000,B,5,1017656.286
45.297,1,980000,B,5,1017656.286
46.397,1,970000,B,5,1017656.286
46.443,1,1050000,S,5,1017656.286
46.848,1,1000000,S,5,1017656.286
