arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
1.08,1,1200000,B,5,1189255.588
1.158,1,1270000,B,5,1189255.588
2.146,1,1230000,B,5,1189255.588
2.595,1,1200000,S,5,1189255.588
3.439,1,1140000,S,5,1189255.588
5.147,1,1270000,B,5,1189255.588
5.456,1,1250000,S,5,1189255.588
6.62,1,1220000,B,5,1189255.588
6.812,1,1160000,S,5,1189255.588
7.498,1,1180000,B,5,1189255.588
7.685,1,1110000,S,5,1189255.588
8.591,1,1150000,S,5,1189255.588
8.791,1,1120000,S,5,1189255.588
10.026,1,1250000,B,5,1189255.588
10.849,1,1130000,S,5,1189255.588
11.356,1,1250000,B,5,1189255.588
13.358,1,1150000,S,5,1189255.588
15.603,1,1200000,S,5,1189255.588
16.329,1,1140000,S,5,1189255.588
18.033,1,1200000,B,5,1189255.588
18.395,1,1250000,S,5,1189255.588
19.985,1,1210000,B,5,1189255.588
20.152,1,1260000,B,5,1189255.588
22.267,1,1150000,S,5,1189255.588
22.402,1,1220000,B,5,1189255.588
23.098,1,1160000,S,5,1189255.588
24.309,1,1150000,S,5,1189255.588
25.324,1,1190000,B,5,1189255.588
26.43,1,1100000,S,5,1189255.588
27.243,1,1160000,S,5,1189255.588
28.381,1,1190000,B,5,1189255.588
29.595,1,1480000,B,5,1409426.415
30.44,1,1460000,B,5,1409426.415
31.382,1,1480000,B,5,1409426.415
31.389,1,1460000,B,5,1409426.415
31.408,1,1360000,S,5,1409426.415
33.88,1,1230000,S,5,1409426.415
35.354,1,1380000,S,5,1409426.415
35.494,1,1490000,B,5,1409426.415
37.304,1,1440000,B,5,1409426.415
37.582,1,1360000,S,5,1409426.415
39.192,1,1390000,S,5,1409426.415
39.273,1,1490000,B,5,1409426.415
39.382,1,1340000,S,5,1409426.415
41.624,1,1190000,B,5,1153809.037
44.97,1,1090000,S,5,1153809.037
45.598,1,1120000,B,5,1153809.037
45.631,1,1150000,S,5,1153809.037
48.854,1,890000,S,5,920305.325
49.416,1,890000,S,5,920305.325
51.158,1,630000,S,5,689328.265
51.661,1,770000,B,5,689328.265
52.596,1,660000,S,5,689328.265
55.109,1,710000,B,5,689328.265
55.422,1,640000,S,5,689328.265
55.747,1,610000,S,5,689328.265
56.217,1,780000,B,5,689328.265
56.787,1,730000,B,5,689328.265
57.032,1,640000,S,5,689328.265
57.612,1,780000,B,5,689328.265
58.239,1,780000,B,5,689328.265
58.811,1,640000,S,5,689328.265
61.795,1,720000,B,5,689328.265
62.999,1,700000,B,5,689328.265
63.455,1,770000,B,5,689328.265
64.072,1,720000,S,5,689328.265
66.987,1,630000,S,5,689328.265
67.44,1,780000,B,5,689328.265
67.853,1,750000,B,5,689328.265
69.529,1,640000,B,5,689328.265
69.835,1,700000,B,5,689328.265
71.699,1,630000,S,5,689328.265
71.882,1,730000,B,5,689328.265
72.082,1,570000,S,5,689328.265
72.09,1,760000,B,5,689328.265
72.211,1,670000,S,5,689328.265
73.845,1,710000,B,5,689328.265
74.707,1,650000,B,5,689328.265
75.54,1,740000,B,5,689328.265
75.622,1,650000,S,5,689328.265
76.145,1,760000,B,5,689328.265
77.82,1,820000,B,5,689328.265
79.403,1,620000,S,5,689328.265
79.8,1,690000,S,5,689328.265
80.174,1,700000,B,5,689328.265
81.039,1,650000,S,5,689328.265
82.363,1,610000,S,5,689328.265
82.847,1,630000,S,5,689328.265
83.463,1,720000,B,5,689328.265
86.955,1,580000,S,5,689328.265
87.803,1,840000,B,5,689328.265
87.821,1,750000,B,5,689328.265
90.072,1,740000,B,5,689328.265
90.776,1,740000,B,5,689328.265
90.8,1,740000,B,5,689328.265
91.296,1,660000,B,5,689328.265
92.751,1,690000,B,5,689328.265
93.68,1,770000,B,5,689328.265
94.339,1,750000,B,5,689328.265
94.714,1,770000,B,5,689328.265
95.21,1,620000,B,5,689328.265
96.151,1,820000,B,5,689328.265
96.271,1,630000,S,5,689328.265
96.334,1,690000,B,5,689328.265
