arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.394,1,950000,S,5,966457.366
1.147,1,970000,S,5,966457.366
1.429,1,970000,S,5,966457.366
2.092,1,950000,B,5,966457.366
2.622,1,1000000,S,5,966457.366
2.817,1,940000,B,5,966457.366
3.056,1,1040000,B,5,966457.366
3.229,1,950000,B,5,966457.366
3.403,1,950000,B,5,966457.366
3.566,1,960000,S,5,966457.366
4.515,1,950000,B,5,966457.366
5.053,1,920000,B,5,966457.366
5.568,1,930000,B,5,966457.366
6.094,1,940000,B,5,966457.366
7.125,1,930000,B,5,966457.366
7.335,1,1010000,S,5,966457.366
7.523,1,940000,B,5,966457.366
7.586,1,1030000,S,5,966457.366
9.676,1,980000,S,5,966457.366
9.785,1,1040000,S,5,966457.366
10.378,1,960000,S,5,966457.366
11.344,1,960000,S,5,966457.366
11.594,1,1030000,S,5,966457.366
11.675,1,980000,S,5,966457.366
12.97,1,1000000,S,5,966457.366
13.374,1,960000,B,5,966457.366
13.505,1,1010000,S,5,966457.366
14.527,1,990000,S,5,966457.366
15.602,1,990000,S,5,966457.366
16.531,1,900000,S,5,966457.366
17.657,1,930000,B,5,966457.366
18.656,1,960000,B,5,966457.366
19.11,1,990000,B,5,966457.366
19.655,1,1010000,S,5,966457.366
21.524,1,1020000,B,5,966457.366
21.91,1,1000000,S,5,966457.366
22.126,1,980000,S,5,966457.366
22.504,1,950000,S,5,966457.366
22.6,1,1000000,S,5,966457.366
24.089,1,980000,S,5,966457.366
24.29,1,960000,S,5,966457.366
24.92,1,950000,B,5,966457.366
25.075,1,1030000,S,5,966457.366
26.139,1,990000,S,5,966457.366
26.14,1,910000,S,5,966457.366
26.422,1,910000,B,5,966457.366
26.711,1,970000,S,5,966457.366
26.995,1,1000000,B,5,966457.366
27.509,1,980000,S,5,966457.366
27.68,1,980000,S,5,966457.366
29.389,1,970000,B,5,966457.366
30.728,1,980000,S,5,966457.366
31.078,1,970000,S,5,966457.366
31.12,1,990000,B,5,966457.366
31.521,1,970000,B,5,966457.366
31.903,1,970000,S,5,966457.366
32.146,1,930000,B,5,966457.366
32.303,1,960000,B,5,966457.366
32.391,1,980000,S,5,966457.366
33.005,1,990000,S,5,966457.366
33.32,1,930000,B,5,966457.366
33.868,1,980000,B,5,966457.366
34.719,1,980000,B,5,966457.366
35.059,1,880000,B,5,966457.366
37.366,1,1020000,S,5,966457.366
38.094,1,990000,S,5,966457.366
38.689,1,960000,S,5,966457.366
38.755,1,960000,B,5,966457.366
41.44,1,960000,S,5,953474.001
41.538,1,940000,B,5,953474.001
43.013,1,960000,S,5,953474.001
43.911,1,990000,S,5,953474.001
44.864,1,950000,B,5,953474.001
45.379,1,940000,S,5,953474.001
45.477,1,1010000,S,5,953474.001
45.72,1,950000,S,5,953474.001
46.274,1,940000,S,5,953474.001
46.375,1,970000,B,5,953474.001
46.397,1,880000,B,5,953474.001
46.47,1,880000,B,5,953474.001
46.949,1,950000,B,5,953474.001
47.186,1,960000,B,5,953474.001
47.372,1,990000,S,5,953474.001
47.467,1,930000,B,5,953474.001
47.617,1,970000,S,5,953474.001
47.658,1,970000,S,5,953474.001
47.756,1,1010000,B,5,953474.001
47.869,1,930000,S,5,953474.001
47.962,1,940000,B,5,953474.001
48.498,1,870000,B,5,953474.001
49.037,1,940000,B,5,953474.001
49.471,1,910000,B,5,953474.001
49.584,1,990000,S,5,953474.001
50.136,1,1030000,S,5,953474.001
51.309,1,1030000,S,5,953474.001
52.1,1,900000,B,5,953474.001
52.772,1,970000,S,5,953474.001
52.782,1,1000000,S,5,953474.001
52.895,1,950000,S,5,953474.001
53.121,1,970000,B,5,953474.001
53.199,1,970000,S,5,953474.001
53.531,1,930000,S,5,953474.001
53.694,1,950000,S,5,953474.001
53.855,1,940000,B,5,953474.001
53.911,1,1040000,S,5,953474.001
54.485,1,910000,S,5,953474.001
54.516,1,990000,S,5,953474.001
54.911,1,1000000,S,5,953474.001
55.576,1,980000,S,5,953474.001
55.833,1,980000,B,5,953474.001
55.845,1,980000,S,5,953474.001
56.339,1,980000,S,5,953474.001
56.407,1,990000,B,5,953474.001
57.392,1,890000,B,5,953474.001
57.499,1,970000,S,5,953474.001
57.69,1,910000,B,5,953474.001
58.493,1,970000,B,5,953474.001
58.686,1,900000,B,5,953474.001
59.09,1,960000,S,5,953474.001
59.323,1,950000,S,5,953474.001
60.009,1,960000,S,5,953474.001
60.243,1,920000,B,5,953474.001
60.381,1,990000,S,5,953474.001
60.411,1,900000,B,5,953474.001
60.777,1,900000,B,5,953474.001
61.373,1,900000,B,5,953474.001
61.99,1,930000,B,5,953474.001
62.365,1,920000,S,5,953474.001
62.474,1,910000,B,5,953474.001
64.873,1,910000,B,5,953474.001
65.642,1,1000000,S,5,953474.001
66.762,1,970000,B,5,953474.001
66.802,1,890000,B,5,953474.001
67.071,1,890000,B,5,953474.001
67.938,1,920000,B,5,953474.001
68.026,1,920000,B,5,953474.001
69.925,1,890000,S,5,907640.83
70.065,1,870000,B,5,889378.071
71.171,1,900000,S,5,889378.071
71.579,1,920000,S,5,889378.071
72.028,1,880000,B,5,889378.071
72.562,1,950000,S,5,889378.071
73.736,1,840000,S,5,889378.071
73.742,1,880000,B,5,889378.071
73.805,1,930000,S,5,889378.071
74.414,1,920000,S,5,889378.071
74.827,1,890000,S,5,889378.071
75.643,1,960000,S,5,889378.071
75.789,1,840000,B,5,889378.071
76.018,1,900000,S,5,889378.071
76.044,1,890000,S,5,889378.071
76.27,1,930000,S,5,889378.071
76.316,1,920000,S,5,889378.071
77.108,1,900000,B,5,889378.071
77.907,1,850000,B,5,889378.071
79.12,1,870000,B,5,889378.071
79.415,1,840000,B,5,889378.071
79.712,1,830000,B,5,889378.071
79.99,1,910000,S,5,889378.071
80.639,1,860000,B,5,889378.071
81.017,1,920000,S,5,889378.071
82.379,1,890000,S,5,889378.071
82.741,1,910000,S,5,889378.071
82.951,1,840000,B,5,889378.071
83.271,1,900000,S,5,889378.071
83.562,1,870000,B,5,889378.071
83.77,1,950000,S,5,889378.071
83.986,1,870000,S,5,889378.071
84.236,1,840000,B,5,889378.071
84.238,1,900000,B,5,889378.071
84.334,1,940000,S,5,889378.071
84.68,1,870000,B,5,889378.071
86.491,1,830000,B,5,871678.197
86.664,1,870000,B,5,871678.197
87.414,1,810000,B,5,871678.197
87.934,1,890000,S,5,871678.197
88.009,1,880000,B,5,871678.197
88.198,1,900000,S,5,871678.197
88.44,1,890000,S,5,871678.197
88.528,1,860000,B,5,871678.197
88.627,1,800000,B,5,871678.197
88.75,1,930000,S,5,871678.197
88.908,1,880000,S,5,871678.197
88.997,1,880000,S,5,871678.197
89.58,1,870000,B,5,871678.197
89.897,1,850000,B,5,871678.197
