arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
1.202,1,850000,S,5,981614.098
3.357,1,1080000,B,5,981614.098
3.455,1,940000,S,5,981614.098
3.551,1,910000,S,5,981614.098
7.464,1,950000,S,5,981614.098
9.153,1,950000,B,5,981614.098
9.389,1,880000,S,5,981614.098
12.925,1,860000,S,5,981614.098
12.931,1,920000,S,5,981614.098
13.882,1,1060000,B,5,981614.098
14.929,1,1010000,B,5,981614.098
15.07,1,1000000,B,5,981614.098
18.115,1,1100000,B,5,981614.098
18.359,1,1030000,B,5,981614.098
18.927,1,1060000,B,5,981614.098
19.741,1,910000,S,5,981614.098
19.9,1,950000,S,5,981614.098
22.186,1,900000,S,5,981614.098
24.222,1,1000000,B,5,981614.098
24.66,1,1050000,B,5,981614.098
26.662,1,980000,B,5,981614.098
28.978,1,960000,S,5,981614.098
30.037,1,910000,S,5,981614.098
30.484,1,1020000,B,5,981614.098
32.916,1,1040000,B,5,981614.098
35.323,1,1030000,B,5,981614.098
35.42,1,930000,S,5,981614.098
35.545,1,1060000,B,5,981614.098
36.334,1,1040000,B,5,981614.098
38.548,1,1080000,S,5,1136602.979
38.8,1,1110000,S,5,1136602.979
46.703,1,1140000,B,5,1136602.979
48.058,1,1200000,B,5,1136602.979
49.924,1,1290000,B,5,1136602.979
50.006,1,1110000,S,5,1136602.979
50.563,1,1110000,B,5,1136602.979
51.261,1,1140000,B,5,1136602.979
51.491,1,1080000,B,5,1136602.979
51.946,1,1190000,B,5,1136602.979
53.329,1,1130000,B,5,1136602.979
55.1,1,1200000,B,5,1136602.979
55.55,1,1200000,B,5,1136602.979
55.55,1,1170000,B,5,1136602.979
55.915,1,1120000,B,5,1136602.979
55.941,1,1150000,B,5,1136602.979
62.723,1,1090000,S,5,1136602.979
62.849,1,1020000,S,5,1136602.979
63.343,1,1140000,B,5,1136602.979
64.186,1,1080000,S,5,1136602.979
65.058,1,1130000,S,5,1136602.979
66.487,1,890000,S,5,949424.358
66.52,1,880000,S,5,949424.358
68.064,1,840000,S,5,910555.908
68.721,1,960000,B,5,910555.908
70.19,1,940000,B,5,910555.908
70.418,1,920000,B,5,910555.908
72.358,1,910000,S,5,910555.908
73.991,1,970000,B,5,910555.908
74.366,1,960000,B,5,910555.908
75.692,1,900000,S,5,910555.908
76.444,1,870000,S,5,893779.162
76.616,1,920000,B,5,893779.162
76.679,1,800000,S,5,893779.162
77.246,1,920000,B,5,893779.162
79.357,1,880000,B,5,893779.162
80.547,1,990000,B,5,893779.162
81.318,1,800000,S,5,893779.162
81.498,1,840000,S,5,893779.162
81.987,1,980000,B,5,893779.162
83.1,1,830000,S,5,893779.162
83.569,1,920000,B,5,893779.162
83.828,1,840000,S,5,893779.162
84.215,1,800000,S,5,893779.162
84.932,1,900000,B,5,893779.162
85.399,1,920000,B,5,893779.162
