arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.422,1,900000,B,5,913394.599
0.948,1,930000,B,5,913394.599
2.078,1,880000,B,5,913394.599
2.213,1,960000,B,5,913394.599
2.345,1,910000,S,5,913394.599
3.23,1,930000,S,5,913394.599
3.512,1,900000,B,5,913394.599
3.566,1,850000,B,5,913394.599
4.643,1,910000,B,5,913394.599
4.736,1,890000,B,5,913394.599
4.903,1,940000,S,5,913394.599
5.08,1,960000,S,5,913394.599
5.864,1,890000,B,5,913394.599
6.063,1,970000,S,5,913394.599
6.096,1,890000,S,5,913394.599
7.364,1,890000,B,5,913394.599
8.137,1,930000,B,5,913394.599
8.903,1,1080000,S,5,1060937.51
8.957,1,1040000,S,5,1060937.51
8.959,1,1010000,B,5,1060937.51
9.014,1,1020000,B,5,1060937.51
9.19,1,1040000,S,5,1060937.51
9.428,1,1100000,S,5,1060937.51
9.59,1,960000,B,5,1060937.51
10.017,1,1060000,S,5,1060937.51
10.343,1,1040000,S,5,1060937.51
11.217,1,1040000,S,5,1060937.51
11.255,1,1060000,S,5,1060937.51
11.671,1,1040000,S,5,1060937.51
11.807,1,1060000,B,5,1060937.51
12.115,1,1020000,B,5,1060937.51
13.591,1,1060000,S,5,1060937.51
13.908,1,1070000,B,5,1060937.51
14.117,1,1090000,S,5,1060937.51
14.135,1,1040000,B,5,1060937.51
14.412,1,1040000,B,5,1060937.51
15.42,1,1050000,S,5,1060937.51
15.578,1,1050000,B,5,1060937.51
16.285,1,1100000,B,5,1060937.51
16.343,1,1070000,S,5,1060937.51
16.568,1,1010000,B,5,1060937.51
18.5,1,1000000,B,5,1060937.51
19.107,1,980000,B,5,1060937.51
19.829,1,1030000,B,5,1060937.51
20.873,1,1020000,B,5,1060937.51
20.911,1,1110000,S,5,1060937.51
20.998,1,1080000,S,5,1060937.51
21.202,1,1060000,B,5,1060937.51
21.555,1,1060000,B,5,1060937.51
21.626,1,1080000,B,5,1060937.51
21.71,1,1070000,S,5,1060937.51
22.068,1,1110000,S,5,1060937.51
22.426,1,1090000,S,5,1060937.51
22.43,1,1010000,B,5,1060937.51
22.718,1,1050000,S,5,1060937.51
23.345,1,1090000,S,5,1060937.51
24.041,1,1070000,S,5,1060937.51
25.109,1,1010000,S,5,1060937.51
25.19,1,1090000,S,5,1060937.51
25.651,1,1050000,B,5,1060937.51
25.935,1,1050000,B,5,1060937.51
27.35,1,1130000,S,5,1060937.51
27.356,1,1030000,B,5,1060937.51
27.487,1,990000,B,5,1060937.51
28.015,1,1100000,B,5,1102981.857
28.051,1,1130000,S,5,1102981.857
28.963,1,1100000,B,5,1102981.857
29.361,1,1100000,B,5,1102981.857
29.402,1,1090000,B,5,1102981.857
31.098,1,1070000,B,5,1102981.857
31.242,1,1080000,B,5,1102981.857
31.251,1,1120000,S,5,1102981.857
31.553,1,1110000,S,5,1102981.857
31.693,1,1090000,B,5,1102981.857
32.546,1,1080000,B,5,1102981.857
34.121,1,1080000,B,5,1102981.857
34.381,1,1090000,S,5,1102981.857
35.153,1,1110000,S,5,1102981.857
35.164,1,1090000,S,5,1102981.857
35.225,1,1050000,B,5,1102981.857
35.429,1,1120000,B,5,1102981.857
35.648,1,1090000,S,5,1102981.857
36.276,1,1100000,B,5,1102981.857
36.405,1,1070000,S,5,1102981.857
36.736,1,1080000,B,5,1102981.857
38.206,1,1150000,S,5,1102981.857
38.605,1,1110000,B,5,1102981.857
39.604,1,1100000,S,5,1102981.857
39.889,1,1110000,B,5,1102981.857
40.337,1,1110000,S,5,1102981.857
40.587,1,1050000,B,5,1102981.857
41.532,1,1050000,B,5,1102981.857
41.808,1,1020000,B,5,1102981.857
41.955,1,1100000,B,5,1102981.857
42.25,1,1110000,B,5,1102981.857
42.669,1,1170000,S,5,1102981.857
42.937,1,1090000,B,5,1119236.594
44.001,1,1130000,S,5,1119236.594
44.168,1,1080000,B,5,1119236.594
44.297,1,1150000,S,5,1119236.594
44.31,1,1100000,B,5,1119236.594
44.368,1,1090000,S,5,1119236.594
45.367,1,1150000,S,5,1119236.594
46.381,1,1120000,B,5,1119236.594
46.675,1,1140000,S,5,1112490.75
47.535,1,1090000,B,5,1112490.75
47.544,1,1070000,S,5,1112490.75
47.747,1,1100000,B,5,1112490.75
49.143,1,1130000,S,5,1112490.75
49.428,1,1120000,S,5,1112490.75
49.903,1,1090000,B,5,1112490.75
51.165,1,1090000,B,5,1112490.75
52.298,1,1130000,S,5,1112490.75
52.505,1,1130000,S,5,1112490.75
53.951,1,1080000,B,5,1112490.75
54.195,1,1100000,S,5,1112490.75
54.426,1,1060000,B,5,1112490.75
54.908,1,1140000,S,5,1112490.75
56.571,1,1090000,B,5,1112490.75
56.725,1,1140000,S,5,1112490.75
56.811,1,1150000,S,5,1112490.75
58.098,1,960000,B,5,984902.639
58.53,1,1020000,B,5,984902.639
59.667,1,950000,B,5,984902.639
60.102,1,1010000,S,5,984902.639
60.33,1,990000,S,5,984902.639
60.763,1,950000,B,5,984902.639
61.586,1,980000,B,5,1029707.929
61.753,1,1030000,B,5,1029707.929
61.794,1,1030000,S,5,1029707.929
62.932,1,1030000,B,5,1029707.929
63.217,1,1040000,B,5,1029707.929
63.301,1,1010000,B,5,1029707.929
64.293,1,990000,B,5,1029707.929
65.406,1,1110000,S,5,1083019.057
65.776,1,1120000,S,5,1083019.057
65.831,1,1120000,S,5,1083019.057
65.951,1,1060000,S,5,1083019.057
66.149,1,1110000,B,5,1083019.057
66.982,1,1080000,S,5,1083019.057
68.554,1,1020000,B,5,1083019.057
69.155,1,1080000,B,5,1083019.057
69.181,1,1090000,S,5,1083019.057
69.296,1,1070000,B,5,1083019.057
69.877,1,1110000,S,5,1083019.057
70.05,1,1150000,S,5,1083019.057
70.272,1,1070000,B,5,1083019.057
70.52,1,1080000,B,5,1083019.057
70.818,1,1090000,S,5,1083019.057
71.017,1,1040000,B,5,1083019.057
71.031,1,1090000,B,5,1083019.057
71.396,1,1120000,S,5,1083019.057
71.935,1,1110000,B,5,1083019.057
72.051,1,1040000,B,5,1083019.057
72.168,1,1070000,B,5,1083019.057
72.209,1,1090000,B,5,1083019.057
72.735,1,1010000,B,5,1083019.057
73.098,1,1020000,B,5,1083019.057
73.31,1,1080000,B,5,1083019.057
73.771,1,1070000,B,5,1083019.057
74.185,1,1040000,B,5,1083019.057
74.468,1,1090000,B,5,1083019.057
75.582,1,1040000,B,5,1083019.057
76.08,1,1020000,B,5,1083019.057
76.385,1,1110000,S,5,1083019.057
76.617,1,1110000,S,5,1083019.057
77.074,1,1130000,S,5,1083019.057
77.176,1,1070000,B,5,1083019.057
78.123,1,1130000,S,5,1083019.057
79.373,1,1030000,B,5,1083019.057
81.061,1,1130000,S,5,1083019.057
81.076,1,1070000,S,5,1083019.057
81.283,1,1130000,S,5,1083019.057
81.53,1,1060000,B,5,1083019.057
82.234,1,1100000,S,5,1083019.057
82.857,1,1090000,S,5,1083019.057
83.123,1,1100000,S,5,1083019.057
84.158,1,1050000,B,5,1083019.057
84.291,1,1020000,B,5,1083019.057
84.397,1,1040000,B,5,1083019.057
84.908,1,1080000,S,5,1083019.057
85.385,1,1110000,S,5,1083019.057
85.724,1,1080000,B,5,1083019.057
85.791,1,1090000,S,5,1083019.057
86.516,1,1110000,S,5,1083019.057
87.688,1,1120000,S,5,1083019.057
88.326,1,1090000,S,5,1083019.057
88.402,1,1030000,S,5,1083019.057
89.287,1,1100000,S,5,1083019.057
89.602,1,1110000,B,5,1083019.057
90.634,1,1090000,S,5,1083019.057
91.539,1,1120000,S,5,1073285.507
92.167,1,1030000,B,5,1073285.507
92.187,1,1070000,S,5,1073285.507
92.189,1,1120000,B,5,1073285.507
92.427,1,1050000,B,5,1073285.507
94.207,1,1030000,B,5,1073285.507
94.421,1,1130000,S,5,1073285.507
94.766,1,1060000,B,5,1073285.507
95.068,1,1070000,B,5,1073285.507
95.146,1,1000000,B,5,1073285.507
96.833,1,1040000,B,5,1073285.507
97.291,1,1060000,B,5,1073285.507
98.937,1,1090000,S,5,1073285.507
