arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.604,1,0,1005887,0
0.81,1,986744,1005887,0
0.863,1,986744,997596,0
1.128,1,986744,1005887,1
1.343,1,986744,1005887,1
2.035,1,986744,1014986,1.99
2.276,1,986744,999266,1.99
2.77,1,986744,999266,1.99
3.135,1,986744,1008869,2.97
3.621,1,1001638,1008869,2.97
6.059,1,1005972,1008869,2.97
6.538,1,1005972,1008869,2.97
7.006,1,1005972,1006634,2.97
7.347,1,1005972,1006634,2.97
7.509,1,1005972,1008869,3.84
7.897,1,1005972,1009240,3.84
10.044,1,1005972,1020943,4.74
10.196,1,1002406,1020943,3.73
10.36,1,1013537,1020943,3.73
10.45,1,1013537,1020943,3.73
10.451,1,1013537,1020943,3.73
10.975,1,1013537,1013866,3.73
11.737,1,1012734,1013866,2.67
12.267,1,1012734,1029034,3.66
12.544,1,1012734,1029034,3.66
12.643,1,1012734,1027176,3.66
14.689,1,1004481,1027176,2.57
15.108,1,1008048,1027176,2.57
15.355,1,1004481,1027176,1.55
15.681,1,1004481,1009748,1.55
15.771,1,1007344,1009748,1.55
15.781,1,1007344,1009748,1.55
19.033,1,1007344,1010854,2.49
19.127,1,1007344,1019846,3.49
19.714,1,1007344,1009171,3.49
19.94,1,1008845,1009171,3.49
20.957,1,1000758,1009171,2.43
20.983,1,1000758,1019846,3.43
21.029,1,1000758,1021105,4.43
21.081,1,1000758,1021105,4.43
21.387,1,999295,1021105,4.43
21.388,1,999295,1020548,4.43
22.009,1,996046,1020548,4.43
22.009,1,996046,1020548,4.43
22.883,1,0,1020548,4.43
22.883,1,0,1010845,4.43
22.937,1,0,1020548,5.35
23.023,1,0,1011044,5.35
23.073,1,0,1011044,5.35
23.526,1,0,996623,5.35
24.277,1,0,996623,5.35
24.369,1,0,1002487,6.27
24.526,1,0,1011044,7.26
24.672,1,0,1016360,8.25
25.305,1,1011051,1016360,8.25
25.679,1,1014763,1016360,8.25
25.741,1,1014763,1016722,9.16
26.318,1,1015031,1016722,9.16
27.285,1,1015738,1016722,9.16
28.566,1,1015031,1016722,7.9
28.826,1,1015031,1019107,7.9
31.554,1,1015031,1019153,7.9
31.555,1,1013605,1019153,7.9
31.555,1,1013605,1019153,7.9
32.169,1,1013605,1023261,6.62
32.169,1,1013587,1023261,6.62
33.48,1,1012418,1023261,5.53
33.56,1,1007768,1023261,4.53
36.051,1,1007768,1027846,4.53
36.052,1,998717,1027846,4.53
36.052,1,1018557,1027846,4.53
36.996,1,1018557,2147483647,4.53
36.996,1,1018557,1019813,4.53
37.204,1,1018557,1019813,4.53
37.445,1,1018557,1019813,4.53
38.768,1,1018557,1019813,4.53
38.973,1,1018557,1030375,5.29
39.482,1,1018557,1030375,5.29
39.564,1,1013726,1030375,4.26
40.352,1,1000718,1030375,3.23
40.568,1,998209,1030375,2.22
40.63,1,998209,1008901,2.22
40.935,1,998209,1008901,2.22
42.196,1,998056,1008901,1.18
42.43,1,998056,1003289,1.18
43.492,1,1000757,1003289,1.18
43.69,1,1000757,1003289,1.18
44.288,1,1000757,1007500,2.16
44.464,1,1000757,1008901,3.16
44.479,1,1000757,1009044,4.16
44.809,1,1000757,1002264,4.16
46.785,1,1000757,1009044,5.07
47.184,1,1001819,1009044,5.07
47.293,1,1001819,1014015,6.04
47.305,1,1001819,1030962,7.04
47.549,1,1005383,1030962,7.04
47.563,1,1005383,1027421,7.04
47.602,1,1005383,1025897,7.04
47.76,1,1005383,1016622,7.04
48.071,1,1005383,1025897,7.99
48.656,1,1005383,1014775,7.99
48.954,1,1007657,1014775,7.99
49.135,1,1010013,1014775,7.99
49.414,1,1010013,1013167,7.99
49.487,1,1010013,1014775,8.88
49.716,1,1010013,1014775,8.88
49.721,1,1013036,1014775,8.88
50.064,1,1010013,1014775,7.83
50.806,1,1010013,1014775,7.83
51.532,1,1013299,1014775,7.83
51.603,1,1013299,1014775,7.83
52.894,1,1014547,1014775,7.83
53.784,1,1014547,1015825,6.54
53.785,1,1013299,1015825,6.54
54.736,1,1007128,1015825,5.48
55.123,1,999967,1015825,4.46
56.005,1,999967,1015825,4.46
57.211,1,999967,1026755,4.46
57.211,1,997422,1026755,4.46
57.211,1,997014,1026755,4.46
58.281,1,996727,1026755,4.46
58.823,1,996727,1011373,4.46
59.352,1,994825,1011373,3.37
59.723,1,994825,1011373,3.37
