arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.001,1,0,940000,N/A
0.195,1,0,2147483647,N/A
0.351,1,860000,2147483647,N/A
0.357,1,860000,940000,N/A
0.735,1,930000,940000,N/A
0.872,1,930000,1020000,N/A
0.984,1,930000,2147483647,N/A
1.075,1,930000,1050000,N/A
1.507,1,980000,1050000,N/A
2.066,1,1010000,1050000,N/A
2.075,1,1010000,2147483647,N/A
2.111,1,980000,2147483647,N/A
2.522,1,0,2147483647,N/A
2.634,1,950000,2147483647,N/A
2.741,1,950000,990000,N/A
3.2,1,950000,1070000,N/A
3.267,1,1000000,1070000,N/A
3.312,1,1000000,1010000,N/A
4.26,1,0,1010000,N/A
4.312,1,0,1070000,N/A
4.469,1,0,970000,N/A
4.525,1,0,1010000,N/A
4.537,1,970000,1010000,N/A
5.009,1,970000,990000,N/A
5.159,1,980000,990000,N/A
5.545,1,970000,990000,N/A
5.929,1,970000,980000,N/A
6.018,1,970000,2147483647,N/A
6.027,1,970000,1040000,N/A
6.076,1,980000,1040000,N/A
6.431,1,1000000,1040000,N/A
6.545,1,980000,1040000,N/A
6.631,1,980000,1050000,N/A
6.961,1,980000,1130000,N/A
7.076,1,0,1130000,N/A
7.438,1,0,1060000,N/A
7.487,1,1050000,1060000,N/A
7.635,1,1050000,1080000,N/A
7.84,1,1050000,1120000,N/A
7.908,1,1110000,1120000,N/A
8.246,1,1060000,1120000,N/A
8.586,1,1060000,1130000,N/A
8.596,1,1110000,1130000,N/A
8.779,1,1110000,1140000,N/A
9.331,1,1110000,1160000,N/A
9.441,1,1120000,1160000,N/A
9.594,1,1120000,1150000,N/A
9.772,1,1100000,1150000,N/A
9.784,1,1120000,1150000,N/A
10.141,1,1120000,2147483647,N/A
10.205,1,1100000,2147483647,N/A
10.214,1,1100000,1150000,N/A
10.625,1,0,1150000,N/A
10.702,1,0,1120000,N/A
10.754,1,0,1150000,N/A
11.214,1,0,1160000,N/A
11.65,1,1050000,1160000,N/A
11.793,1,1050000,1090000,N/A
12.443,1,1050000,1070000,N/A
12.49,1,1050000,1090000,N/A
12.65,1,0,1090000,N/A
12.658,1,1060000,1090000,N/A
12.682,1,1060000,1080000,N/A
12.702,1,1060000,1090000,N/A
13.009,1,1060000,1140000,N/A
13.097,1,1060000,1100000,N/A
13.143,1,1060000,1140000,N/A
13.259,1,1070000,1140000,N/A
13.292,1,1070000,1100000,N/A
13.606,1,1090000,1100000,N/A
14.292,1,1090000,1110000,N/A
14.606,1,1060000,1110000,N/A
14.614,1,1100000,1110000,N/A
15.039,1,1100000,1130000,N/A
15.132,1,1110000,1130000,N/A
15.277,1,1110000,1140000,N/A
15.533,1,1100000,1140000,N/A
15.553,1,1100000,1110000,N/A
15.614,1,1060000,1110000,N/A
15.69,1,1060000,1080000,N/A
15.989,1,1040000,1080000,N/A
16.42,1,1070000,1080000,N/A
16.69,1,1070000,1090000,N/A
16.826,1,1040000,1090000,N/A
16.848,1,1040000,1100000,N/A
16.853,1,0,1100000,N/A
16.861,1,1040000,1100000,N/A
16.997,1,1040000,1050000,N/A
17.452,1,1040000,1060000,N/A
