arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.454,1,1080000,2147483647,N/A
0.863,1,0,2147483647,N/A
0.947,1,0,980000,N/A
1.204,1,950000,980000,N/A
2.136,1,0,980000,N/A
3.866,1,0,1000000,N/A
6.042,1,0,1010000,N/A
6.134,1,0,1090000,N/A
8.493,1,0,1180000,N/A
10.089,1,0,1270000,N/A
11.837,1,1050000,1270000,N/A
11.936,1,1080000,1270000,N/A
12.032,1,1140000,1270000,N/A
13.782,1,1090000,1270000,N/A
14.009,1,1080000,1270000,N/A
14.077,1,1050000,1270000,N/A
14.638,1,1050000,1390000,N/A
14.768,1,1050000,1520000,N/A
14.812,1,1060000,1520000,N/A
15.392,1,1060000,2147483647,N/A
16.11,1,1060000,1070000,N/A
16.553,1,1060000,1130000,N/A
16.723,1,1080000,1130000,N/A
17.522,1,1060000,1130000,N/A
19.812,1,1040000,1130000,N/A
20.12,1,940000,1130000,N/A
21.218,1,940000,1230000,N/A
21.587,1,940000,950000,N/A
22.393,1,930000,950000,N/A
23.159,1,870000,950000,N/A
23.881,1,870000,2147483647,N/A
24.129,1,920000,2147483647,N/A
25.297,1,970000,2147483647,N/A
26.859,1,920000,2147483647,N/A
28.297,1,1030000,2147483647,N/A
28.504,1,1070000,2147483647,N/A
29.97,1,1030000,2147483647,N/A
31.413,1,960000,2147483647,N/A
33.053,1,950000,2147483647,N/A
33.34,1,940000,2147483647,N/A
34.776,1,900000,2147483647,N/A
35.84,1,780000,2147483647,N/A
36.692,1,580000,2147483647,N/A
37.744,1,0,2147483647,N/A
38.98,1,290000,2147483647,N/A
39.664,1,350000,2147483647,N/A
40.435,1,370000,2147483647,N/A
40.747,1,370000,420000,N/A
41.294,1,370000,2147483647,N/A
41.784,1,460000,2147483647,N/A
42.057,1,460000,500000,N/A
43.525,1,460000,540000,N/A
45.201,1,460000,970000,N/A
46.6,1,500000,970000,N/A
47.195,1,510000,970000,N/A
47.66,1,510000,580000,N/A
47.704,1,550000,580000,N/A
47.783,1,550000,970000,N/A
47.815,1,660000,970000,N/A
48.998,1,660000,740000,N/A
49.891,1,660000,730000,N/A
50.162,1,660000,720000,N/A
51.029,1,660000,730000,N/A
51.765,1,660000,740000,N/A
52.384,1,660000,840000,N/A
52.815,1,0,840000,N/A
52.952,1,0,860000,N/A
53.62,1,0,910000,N/A
53.734,1,0,990000,N/A
55.172,1,930000,990000,N/A
55.186,1,930000,980000,N/A
55.271,1,930000,990000,N/A
55.532,1,950000,990000,N/A
55.709,1,960000,990000,N/A
57.744,1,950000,990000,N/A
58.311,1,950000,1020000,N/A
58.366,1,950000,1060000,N/A
59.362,1,1050000,1060000,N/A
60.918,1,1030000,1060000,N/A
61.136,1,990000,1060000,N/A
63.186,1,990000,1070000,N/A
63.918,1,980000,1070000,N/A
63.952,1,940000,1070000,N/A
64.952,1,940000,1060000,N/A
65.72,1,910000,1060000,N/A
67.168,1,950000,1060000,N/A
67.395,1,950000,1000000,N/A
68.188,1,950000,1060000,N/A
69.208,1,950000,1080000,N/A
70.192,1,950000,1090000,N/A
70.942,1,950000,1280000,N/A
70.959,1,950000,1310000,N/A
72.168,1,0,1310000,N/A
73.782,1,0,1380000,N/A
74.642,1,1180000,1380000,N/A
74.848,1,1290000,1380000,N/A
76.013,1,1350000,1380000,N/A
76.044,1,1350000,1550000,N/A
76.058,1,1350000,1360000,N/A
77.235,1,1290000,1360000,N/A
77.778,1,1180000,1360000,N/A
78.596,1,1180000,1190000,N/A
79.642,1,1160000,1190000,N/A
79.843,1,1160000,1320000,N/A
80.276,1,1050000,1320000,N/A
82.655,1,1050000,1140000,N/A
