arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
1.388,1,940000,2147483647,N/A
1.56,1,910000,2147483647,N/A
1.983,1,870000,2147483647,N/A
2.097,1,920000,2147483647,N/A
2.455,1,920000,940000,N/A
3.27,1,920000,970000,N/A
3.626,1,920000,1200000,N/A
5.735,1,920000,1280000,N/A
5.831,1,920000,1340000,N/A
6.089,1,920000,1360000,N/A
6.366,1,920000,1430000,N/A
6.646,1,920000,2147483647,N/A
7.097,1,890000,2147483647,N/A
7.237,1,1510000,2147483647,N/A
7.266,1,890000,2147483647,N/A
7.284,1,1510000,2147483647,N/A
8.551,1,1580000,2147483647,N/A
8.556,1,1580000,1600000,N/A
11.897,1,1510000,1600000,N/A
12.083,1,1480000,1600000,N/A
13.556,1,1480000,2147483647,N/A
13.741,1,1130000,2147483647,N/A
14.238,1,1270000,2147483647,N/A
16.859,1,1460000,2147483647,N/A
18.903,1,1270000,2147483647,N/A
19.238,1,1250000,2147483647,N/A
20.242,1,1190000,2147483647,N/A
20.632,1,1190000,1350000,N/A
22.467,1,1180000,1350000,N/A
24.414,1,1140000,1350000,N/A
25.565,1,1100000,1350000,N/A
25.632,1,1100000,2147483647,N/A
26.838,1,1070000,2147483647,N/A
27.207,1,910000,2147483647,N/A
27.615,1,990000,2147483647,N/A
28.271,1,1030000,2147483647,N/A
31.791,1,1230000,2147483647,N/A
31.941,1,1230000,1330000,N/A
32.731,1,1230000,2147483647,N/A
33.288,1,1230000,1310000,N/A
33.96,1,1230000,1280000,N/A
34.467,1,1230000,1310000,N/A
34.502,1,1230000,2147483647,N/A
34.777,1,1230000,1490000,N/A
35.03,1,1230000,1540000,N/A
35.36,1,1500000,1540000,N/A
35.775,1,1500000,1590000,N/A
36.399,1,1470000,1590000,N/A
36.491,1,1230000,1590000,N/A
36.791,1,0,1590000,N/A
38.036,1,0,1440000,N/A
39.859,1,0,1260000,N/A
39.985,1,1150000,1260000,N/A
40.321,1,0,1260000,N/A
40.608,1,0,1090000,N/A
42.719,1,0,960000,N/A
43.714,1,800000,960000,N/A
44.335,1,800000,1090000,N/A
44.447,1,800000,980000,N/A
44.582,1,800000,1090000,N/A
45.608,1,800000,1140000,N/A
45.9,1,800000,2147483647,N/A
46.144,1,800000,1050000,N/A
46.254,1,800000,1010000,N/A
46.499,1,950000,1010000,N/A
50.768,1,950000,1050000,N/A
51.144,1,950000,1070000,N/A
51.499,1,0,1070000,N/A
51.685,1,0,1140000,N/A
52.382,1,0,1080000,N/A
52.46,1,0,1230000,N/A
52.774,1,0,1300000,N/A
52.908,1,0,2147483647,N/A
52.91,1,0,1380000,N/A
52.931,1,1360000,1380000,N/A
53.59,1,1330000,1380000,N/A
55.017,1,1270000,1380000,N/A
56.904,1,1310000,1380000,N/A
57.83,1,1280000,1380000,N/A
57.91,1,1280000,1410000,N/A
58.01,1,1280000,1490000,N/A
58.469,1,1450000,1490000,N/A
58.709,1,1280000,1490000,N/A
58.754,1,1270000,1490000,N/A
59.01,1,1220000,1490000,N/A
59.041,1,1220000,1270000,N/A
60.208,1,1260000,1270000,N/A
63.226,1,1250000,1270000,N/A
63.431,1,1250000,1330000,N/A
63.782,1,1250000,1310000,N/A
63.799,1,1250000,1330000,N/A
65.218,1,0,1330000,N/A
65.673,1,0,1410000,N/A
65.839,1,0,1370000,N/A
66.506,1,1070000,1370000,N/A
68.207,1,1050000,1370000,N/A
68.397,1,1020000,1370000,N/A
69.561,1,950000,1370000,N/A
70.655,1,810000,1370000,N/A
70.839,1,810000,2147483647,N/A
73.96,1,800000,2147483647,N/A
74.106,1,660000,2147483647,N/A
74.739,1,0,2147483647,N/A
75.374,1,590000,2147483647,N/A
77.447,1,0,2147483647,N/A
77.834,1,370000,2147483647,N/A
79.613,1,0,2147483647,N/A
80.068,1,440000,2147483647,N/A
80.792,1,420000,2147483647,N/A
81.587,1,430000,2147483647,N/A
81.626,1,430000,460000,N/A
82.0,1,430000,2147483647,N/A
82.054,1,430000,570000,N/A
84.385,1,420000,570000,N/A
84.648,1,420000,450000,N/A
85.348,1,410000,450000,N/A
85.67,1,300000,450000,N/A
86.915,1,410000,450000,N/A
88.842,1,410000,460000,N/A
89.324,1,410000,440000,N/A
89.873,1,410000,460000,N/A
91.92,1,450000,460000,N/A
92.312,1,450000,480000,N/A
92.816,1,450000,580000,N/A
92.91,1,450000,680000,N/A
93.893,1,620000,680000,N/A
94.184,1,450000,680000,N/A
94.792,1,450000,550000,N/A
95.36,1,450000,680000,N/A
95.527,1,450000,770000,N/A
96.333,1,450000,790000,N/A
96.92,1,0,790000,N/A
97.395,1,0,840000,N/A
97.517,1,810000,840000,N/A
97.558,1,830000,840000,N/A
97.56,1,830000,860000,N/A
98.806,1,810000,860000,N/A
100.722,1,540000,860000,N/A
101.348,1,540000,550000,N/A
102.354,1,470000,550000,N/A
102.677,1,340000,550000,N/A
103.908,1,330000,550000,N/A
103.951,1,0,550000,N/A
104.398,1,0,350000,N/A
105.124,1,0,550000,N/A
105.611,1,370000,550000,N/A
106.348,1,370000,2147483647,N/A
106.374,1,370000,430000,N/A
106.756,1,370000,2147483647,N/A
107.006,1,370000,470000,N/A
108.341,1,370000,2147483647,N/A
108.605,1,490000,2147483647,N/A
111.436,1,370000,2147483647,N/A
113.081,1,620000,2147483647,N/A
113.284,1,370000,2147483647,N/A
113.892,1,740000,2147483647,N/A
114.429,1,290000,2147483647,N/A
114.505,1,390000,2147483647,N/A
114.614,1,390000,420000,N/A
115.177,1,290000,420000,N/A
115.782,1,0,420000,N/A
116.047,1,0,330000,N/A
116.366,1,290000,330000,N/A
118.738,1,230000,330000,N/A
119.829,1,150000,330000,N/A
119.898,1,60000,330000,N/A
119.988,1,60000,90000,N/A
119.992,1,70000,90000,N/A
121.305,1,60000,90000,N/A
121.553,1,20000,90000,N/A
123.684,1,10000,90000,N/A
124.075,1,70000,90000,N/A
124.988,1,70000,120000,N/A
125.143,1,70000,2147483647,N/A
125.905,1,50000,2147483647,N/A
125.938,1,0,2147483647,N/A
126.002,1,0,20000,N/A
126.06,1,0,2147483647,N/A
135.025,1,40000,2147483647,N/A
137.219,1,10000,2147483647,N/A
137.278,1,0,2147483647,N/A
143.569,1,0,50000,N/A
144.636,1,0,10000,N/A
149.02,1,0,150000,N/A
150.082,1,100000,150000,N/A
151.661,1,100000,210000,N/A
151.891,1,180000,210000,N/A
152.263,1,190000,210000,N/A
154.153,1,180000,210000,N/A
155.093,1,180000,200000,N/A
156.077,1,180000,210000,N/A
156.891,1,70000,210000,N/A
157.516,1,0,210000,N/A
157.517,1,0,250000,N/A
157.558,1,0,310000,N/A
158.148,1,270000,310000,N/A
158.177,1,270000,370000,N/A
158.459,1,270000,280000,N/A
160.309,1,270000,310000,N/A
161.804,1,270000,370000,N/A
162.588,1,270000,560000,N/A
163.116,1,500000,560000,N/A
165.44,1,360000,560000,N/A
165.951,1,360000,2147483647,N/A
166.716,1,350000,2147483647,N/A
167.323,1,260000,2147483647,N/A
167.441,1,260000,290000,N/A
167.919,1,260000,2147483647,N/A
167.974,1,260000,380000,N/A
168.229,1,370000,380000,N/A
169.955,1,0,380000,N/A
170.062,1,0,280000,N/A
170.197,1,270000,280000,N/A
170.858,1,0,280000,N/A
172.196,1,0,310000,N/A
172.754,1,0,330000,N/A
173.739,1,220000,330000,N/A
174.455,1,310000,330000,N/A
175.702,1,310000,360000,N/A
177.93,1,330000,360000,N/A
178.536,1,310000,360000,N/A
178.986,1,330000,360000,N/A
179.386,1,330000,370000,N/A
179.452,1,330000,390000,N/A
179.529,1,330000,360000,N/A
