time,direction
6.116,B
10.124,S
12.101,S
21.286,B
23.926,B
25.3,S
29.002,S
32.818,B
35.885,B
35.986,B
40.478,B
42.143,S
43.871,B
47.251,S
48.317,B
52.336,S
56.56,B
69.523,S
70.492,S
70.888,S
73.455,S
74.62,S
80.425,S
81.362,S
84.117,S
85.027,S
85.737,S
87.865,S
88.685,S
92.793,S
95.238,S
96.243,S
110.768,B
124.081,S
124.158,B
129.565,B
136.716,S
136.817,S
144.975,B
149.849,S
152.275,B
157.264,S
162.836,B
167.862,B
168.066,S
175.986,S
176.613,B
179.563,B
180.114,B
182.841,B
188.571,B
190.059,B
194.785,S
195.634,S
196.566,B
199.039,S
205.916,S
206.36,S
208.546,S
213.668,B
214.679,S
216.607,S
226.69,S
235.179,S
243.534,B
