arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.003,1,2310000,2400000,N/A
0.022,1,2320000,2400000,N/A
0.204,1,2310000,2400000,N/A
0.705,1,960000,2400000,N/A
0.753,1,990000,2400000,N/A
0.824,1,960000,2400000,N/A
1.003,1,960000,2147483647,N/A
1.229,1,960000,1040000,N/A
1.497,1,960000,1010000,N/A
1.518,1,980000,1010000,N/A
1.583,1,980000,990000,N/A
1.637,1,960000,990000,N/A
1.831,1,960000,980000,N/A
2.112,1,960000,990000,N/A
2.18,1,950000,990000,N/A
2.36,1,970000,990000,N/A
2.583,1,970000,1000000,N/A
2.795,1,950000,1000000,N/A
3.528,1,940000,1000000,N/A
3.538,1,990000,1000000,N/A
3.841,1,990000,1110000,N/A
3.99,1,1050000,1110000,N/A
4.235,1,990000,1110000,N/A
4.285,1,1020000,1110000,N/A
4.461,1,1020000,1070000,N/A
4.73,1,1020000,1060000,N/A
4.761,1,1020000,1050000,N/A
4.801,1,1020000,1060000,N/A
4.924,1,1020000,1070000,N/A
4.937,1,990000,1070000,N/A
5.08,1,1040000,1070000,N/A
5.087,1,990000,1070000,N/A
5.103,1,1020000,1070000,N/A
5.461,1,1020000,2147483647,N/A
5.66,1,1090000,2147483647,N/A
5.732,1,1020000,2147483647,N/A
5.807,1,1020000,1040000,N/A
6.103,1,990000,1040000,N/A
6.283,1,970000,1040000,N/A
6.285,1,1010000,1040000,N/A
6.807,1,1010000,1050000,N/A
6.913,1,1010000,1040000,N/A
6.927,1,1030000,1040000,N/A
7.067,1,1030000,1050000,N/A
7.106,1,1010000,1050000,N/A
7.211,1,1020000,1050000,N/A
7.516,1,1020000,1070000,N/A
7.517,1,1050000,1070000,N/A
7.856,1,1020000,1070000,N/A
7.859,1,1020000,1090000,N/A
7.886,1,1040000,1090000,N/A
8.236,1,1040000,1080000,N/A
8.51,1,1050000,1080000,N/A
8.656,1,1040000,1080000,N/A
8.834,1,1040000,1070000,N/A
8.886,1,1010000,1070000,N/A
9.178,1,1010000,1060000,N/A
9.346,1,1010000,1030000,N/A
9.486,1,1010000,1060000,N/A
9.583,1,1010000,1070000,N/A
9.818,1,1010000,1140000,N/A
9.858,1,1010000,1100000,N/A
10.05,1,980000,1100000,N/A
10.327,1,980000,1140000,N/A
10.392,1,0,1140000,N/A
10.51,1,0,1200000,N/A
10.545,1,1050000,1200000,N/A
10.578,1,1050000,1060000,N/A
10.709,1,1050000,1200000,N/A
10.869,1,1120000,1200000,N/A
10.972,1,1130000,1200000,N/A
11.318,1,1130000,2147483647,N/A
11.353,1,1130000,1150000,N/A
11.546,1,1130000,1140000,N/A
11.961,1,1130000,1150000,N/A
12.353,1,1130000,1160000,N/A
12.475,1,1120000,1160000,N/A
12.884,1,1120000,1210000,N/A
13.052,1,1080000,1210000,N/A
13.078,1,0,1210000,N/A
13.102,1,1090000,1210000,N/A
13.437,1,1090000,2147483647,N/A
13.468,1,1090000,1140000,N/A
13.47,1,1090000,1130000,N/A
13.583,1,1100000,1130000,N/A
13.75,1,1100000,1140000,N/A
13.769,1,1100000,1150000,N/A
13.773,1,1120000,1150000,N/A
14.079,1,1130000,1150000,N/A
14.517,1,1130000,1170000,N/A
14.958,1,1130000,1190000,N/A
14.977,1,1130000,1200000,N/A
14.984,1,1130000,1220000,N/A
15.061,1,1130000,1300000,N/A
15.084,1,1130000,1270000,N/A
15.335,1,0,1270000,N/A
15.34,1,1160000,1270000,N/A
15.439,1,1160000,1240000,N/A
15.568,1,1210000,1240000,N/A
15.942,1,1210000,1270000,N/A
16.139,1,1220000,1270000,N/A
16.604,1,1220000,2147483647,N/A
16.626,1,1190000,2147483647,N/A
16.717,1,1170000,2147483647,N/A
16.85,1,0,2147483647,N/A
17.021,1,1110000,2147483647,N/A
17.059,1,1110000,1160000,N/A
17.082,1,1140000,1160000,N/A
17.222,1,1140000,1180000,N/A
17.436,1,1140000,1150000,N/A
